Creation Time: 2021_5_15-0-30-3
0-30-3 | [INFO] SafeZoneCore - Started !
0-30-3 | [INFO] TraderPlus file exist ! loading...
0-30-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
0-30-3 | [INFO] TraderPlus file exist ! loading...
0-30-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
0-30-3 | [INFO] TraderPlus file exist ! loading...
0-30-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
0-30-3 | [INFO] CheckForSpacesToRemove - Started
0-30-3 | [INFO] CheckForSpacesToRemove - Ended
0-30-3 | [INFO] TraderPlus file exist ! loading...
0-30-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
0-30-3 | [INFO] TraderPlusServer - Started
0-30-3 | [INFO] TraderPlusBankingCore - Started !
0-30-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.json
0-30-3 | [INFO] TraderPlusBankingServer - Started
0-30-3 | [INFO] CarLockCore - Started !
0-30-3 | [INFO] CarLockServer - Started
0-30-16 | [INFO] ID_count: 5
0-30-16 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_0.json
0-30-16 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_1.json
0-30-16 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_2.json
0-30-16 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_3.json
0-30-16 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_4.json
0-30-16 | [INFO] obj created: bldr_sign_rail_platformend
0-30-16 | [INFO] TraderBuilding created and added!: 
0-30-16 | [INFO] obj created: bldr_sign_rail_platformend
0-30-16 | [INFO] TraderBuilding created and added!: 
0-30-16 | [INFO] obj created: bldr_sign_rail_platformend
0-30-16 | [INFO] TraderBuilding created and added!: 
0-30-16 | [INFO] obj created: bldr_sign_rail_platformend
0-30-16 | [INFO] TraderBuilding created and added!: 
