Creation Time: 2021_4_23-15-26-3
15-26-3 | [INFO] SafeZoneCore - Started !
15-26-3 | [INFO] TraderPlus file exist ! loading...
15-26-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json ( Files over 500MB~ might have issues sometimes )
15-26-3 | [INFO] TraderPlus file exist ! loading...
15-26-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json ( Files over 500MB~ might have issues sometimes )
15-26-3 | [INFO] TraderPlus file exist ! loading...
15-26-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json ( Files over 500MB~ might have issues sometimes )
15-26-3 | [INFO] CheckForSpacesToRemove - Started
15-26-3 | [INFO] CheckForSpacesToRemove - Ended
15-26-3 | [INFO] TraderPlus file exist ! loading...
15-26-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json ( Files over 500MB~ might have issues sometimes )
15-26-3 | [INFO] TraderPlusServer - Started
15-26-3 | [INFO] CarLockCore - Started !
15-26-3 | [INFO] CarLockServer - Started
15-26-17 | [INFO] ID_count: 5
15-26-17 | [INFO] obj created: bldr_sign_rail_platformend
15-26-17 | [INFO] TraderBuilding created and added!: 
15-26-17 | [INFO] obj created: bldr_sign_rail_platformend
15-26-17 | [INFO] TraderBuilding created and added!: 
15-26-17 | [INFO] obj created: bldr_sign_rail_platformend
15-26-17 | [INFO] TraderBuilding created and added!: 
15-26-17 | [INFO] obj created: bldr_sign_rail_platformend
15-26-17 | [INFO] TraderBuilding created and added!: 
15-26-17 | [INFO] obj created: bldr_sign_rail_platformend
15-26-17 | [INFO] TraderBuilding created and added!: 
15-27-31 | [INFO] 76561198036774377
15-27-31 | [INFO] false
