Creation Time: 2021_5_1-13-15-1
13-15-1 | [INFO] SafeZoneCore - Started !
13-15-1 | [INFO] TraderPlus file exist ! loading...
13-15-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
13-15-1 | [INFO] TraderPlus file exist ! loading...
13-15-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
13-15-1 | [INFO] TraderPlus file exist ! loading...
13-15-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
13-15-1 | [INFO] CheckForSpacesToRemove - Started
13-15-1 | [INFO] CheckForSpacesToRemove - Ended
13-15-1 | [INFO] TraderPlus file exist ! loading...
13-15-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
13-15-1 | [INFO] TraderPlusServer - Started
13-15-1 | [INFO] TraderPlusBankingCore - Started !
13-15-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.json
13-15-1 | [INFO] TraderPlusBankingServer - Started
13-15-1 | [INFO] CarLockCore - Started !
13-15-1 | [INFO] CarLockServer - Started
13-15-18 | [INFO] ID_count: 5
13-15-18 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_0.json
13-15-18 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_1.json
13-15-18 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_2.json
13-15-18 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_3.json
13-15-18 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_4.json
13-15-18 | [INFO] obj created: bldr_sign_rail_platformend
13-15-18 | [INFO] TraderBuilding created and added!: 
13-15-18 | [INFO] obj created: bldr_sign_rail_platformend
13-15-18 | [INFO] TraderBuilding created and added!: 
13-15-18 | [INFO] obj created: bldr_sign_rail_platformend
13-15-18 | [INFO] TraderBuilding created and added!: 
13-15-18 | [INFO] obj created: bldr_sign_rail_platformend
13-15-18 | [INFO] TraderBuilding created and added!: 
13-20-3 | [INFO] 76561198016874355
13-20-3 | [INFO] false
13-23-23 | [INFO] 76561198036774377
13-23-23 | [INFO] false
13-23-29 | [INFO] GetSafeStatut | Playername:BnYrB TradZoneName:Trader Statut:true
13-24-56 | [INFO] 76561198030377081
13-24-56 | [INFO] false
