Creation Time: 2021_5_2-6-2-3
6-2-3 | [INFO] SafeZoneCore - Started !
6-2-3 | [INFO] TraderPlus file exist ! loading...
6-2-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
6-2-3 | [INFO] TraderPlus file exist ! loading...
6-2-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
6-2-3 | [INFO] TraderPlus file exist ! loading...
6-2-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
6-2-3 | [INFO] CheckForSpacesToRemove - Started
6-2-3 | [INFO] CheckForSpacesToRemove - Ended
6-2-3 | [INFO] TraderPlus file exist ! loading...
6-2-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
6-2-3 | [INFO] TraderPlusServer - Started
6-2-3 | [INFO] TraderPlusBankingCore - Started !
6-2-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.json
6-2-3 | [INFO] TraderPlusBankingServer - Started
6-2-3 | [INFO] CarLockCore - Started !
6-2-3 | [INFO] CarLockServer - Started
6-2-18 | [INFO] ID_count: 5
6-2-18 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_0.json
6-2-18 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_1.json
6-2-18 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_2.json
6-2-18 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_3.json
6-2-18 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_4.json
6-2-18 | [INFO] obj created: bldr_sign_rail_platformend
6-2-18 | [INFO] TraderBuilding created and added!: 
6-2-18 | [INFO] obj created: bldr_sign_rail_platformend
6-2-18 | [INFO] TraderBuilding created and added!: 
6-2-18 | [INFO] obj created: bldr_sign_rail_platformend
6-2-18 | [INFO] TraderBuilding created and added!: 
6-2-18 | [INFO] obj created: bldr_sign_rail_platformend
6-2-18 | [INFO] TraderBuilding created and added!: 
6-2-55 | [INFO] 76561198016874355
6-2-55 | [INFO] false
9-19-11 | [INFO] 76561198016874355
9-19-11 | [INFO] false
