Creation Time: 2021_5_21-19-22-0
19-22-0 | [INFO] SafeZoneCore - Started !
19-22-0 | [INFO] TraderPlus file exist ! loading...
19-22-0 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
19-22-0 | [INFO] TraderPlus file exist ! loading...
19-22-0 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
19-22-0 | [INFO] TraderPlus file exist ! loading...
19-22-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
19-22-1 | [INFO] CheckForSpacesToRemove - Started
19-22-1 | [INFO] CheckForSpacesToRemove - Ended
19-22-1 | [INFO] TraderPlus file exist ! loading...
19-22-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
19-22-1 | [INFO] TraderPlusServer - Started
19-22-1 | [INFO] TraderPlusBankingCore - Started !
19-22-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.json
19-22-1 | [INFO] TraderPlusBankingServer - Started
19-22-1 | [INFO] CarLockCore - Started !
19-22-1 | [INFO] CarLockServer - Started
19-22-15 | [INFO] ID_count: 5
19-22-15 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_0.json
19-22-15 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_1.json
19-22-15 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_2.json
19-22-15 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_3.json
19-22-15 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_4.json
19-22-15 | [INFO] obj created: bldr_sign_rail_platformend
19-22-15 | [INFO] TraderBuilding created and added!: 
19-22-15 | [INFO] obj created: bldr_sign_rail_platformend
19-22-15 | [INFO] TraderBuilding created and added!: 
19-22-15 | [INFO] obj created: bldr_sign_rail_platformend
19-22-15 | [INFO] TraderBuilding created and added!: 
19-22-15 | [INFO] obj created: bldr_sign_rail_platformend
19-22-15 | [INFO] TraderBuilding created and added!: 
19-22-57 | [INFO] 76561198086332265
19-22-57 | [INFO] false
19-23-19 | [INFO] 76561199013191843
19-23-19 | [INFO] false
19-23-51 | [INFO] 76561199074754026
19-23-51 | [INFO] false
19-23-55 | [INFO] 76561198036774377
19-23-55 | [INFO] true
19-24-2 | [INFO] 76561199063202968
19-24-2 | [INFO] false
19-24-9 | [INFO] 76561198217435744
19-24-9 | [INFO] false
19-24-51 | [INFO] 76561198169903562
19-24-51 | [INFO] false
19-28-15 | [INFO] 76561198036774377
19-28-15 | [INFO] true
19-59-29 | [INFO] 76561199013191843
19-59-29 | [INFO] false
20-2-14 | [INFO] 76561198169903562
20-2-14 | [INFO] false
20-2-20 | [INFO] 76561199013191843
20-2-20 | [INFO] false
20-28-8 | [INFO] 76561198036774377
20-28-8 | [INFO] true
20-33-7 | [INFO] 76561198036774377
20-33-7 | [INFO] true
20-57-23 | [INFO] 76561199063202968
20-57-23 | [INFO] false
21-39-16 | [INFO] 76561198086332265
21-39-16 | [INFO] false
21-50-21 | [INFO] 76561198036774377
21-50-21 | [INFO] true
21-52-12 | [INFO] 76561199105471341
21-52-12 | [INFO] false
