Creation Time: 2021_2_14-0-51-6
0-51-6 | [INFO] TZManager - Started !
0-51-7 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
0-51-7 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
0-51-7 | [INFO] [LOOTSYSTEM]: Creature equal to 0!
0-51-7 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
0-51-7 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
0-51-7 | [INFO] 1
0-51-7 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:8010.2 Y:340.288 Z:14654.2
0-51-7 | [INFO] AKM
0-51-7 | [INFO] Mag_AKM_30Rnd
0-51-7 | [INFO] PSO1Optic
0-51-7 | [INFO] Mag_AKM_Drum75Rnd
0-51-7 | [INFO] AK_Suppressor
0-51-7 | [INFO] AK_PlasticHndgrd
0-51-7 | [INFO] AK_RailHndgrd_Black
0-51-7 | [INFO] AK_Bayonet
0-51-7 | [INFO] M4A1
0-51-7 | [INFO] M4_CarryHandleOptic
0-51-7 | [INFO] M4_CQBBttstck
0-51-7 | [INFO] M4_MPBttstck
0-51-7 | [INFO] M4_RISHndgrd
0-51-8 | [INFO] ToxicCure
0-51-8 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
0-51-8 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
0-51-8 | [INFO] 1
0-51-8 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:1896.77 Y:448.958 Z:13707.8
0-51-8 | [INFO] AmmoBox_545x39_20Rnd
0-51-8 | [INFO] AmmoBox_556x45_20Rnd
0-51-8 | [INFO] AmmoBox_762x39_20Rnd
0-51-8 | [INFO] AmmoBox_762x54_20Rnd
0-51-8 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
0-51-8 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
0-51-8 | [INFO] TZManager - Started !
0-51-8 | [INFO] TZToxicZone - Started !
0-51-9 | [INFO] DynToxicZone Spawned at X:2000 Y:5000
0-51-9 | [INFO] TZDynToxicZone - Started ! : ID:1
0-51-9 | [INFO] ZelenToNovyRestartMZ:12758
0-51-9 | [INFO] DynTZ.StartX<2000.000000, 179.596664, 5000.000000>
0-53-44 | [INFO] DynToxicZone - X: 2030 Y: 5000 Radius: 170
0-53-44 | [INFO] DynToxicZone - X: 2030 Y: 5000 Radius: 170
0-53-44 | [INFO] DynToxicZone - X: 2030 Y: 5000 Radius: 170
0-53-44 | [INFO] DynToxicZone - X: 2030 Y: 5000 Radius: 170
0-53-44 | [INFO] DynToxicZone - X: 2030 Y: 5000 Radius: 170
0-54-45 | [INFO] DynToxicZone - X: 2060 Y: 5018.36 Radius: 170
0-54-45 | [INFO] DynToxicZone - X: 2060 Y: 5018.36 Radius: 170
0-54-45 | [INFO] DynToxicZone - X: 2060 Y: 5018.36 Radius: 170
0-54-45 | [INFO] DynToxicZone - X: 2060 Y: 5018.36 Radius: 170
0-54-45 | [INFO] DynToxicZone - X: 2060 Y: 5018.36 Radius: 170
0-54-45 | [INFO] DynToxicZone - X: 2060 Y: 5018.36 Radius: 170
0-54-45 | [INFO] DynToxicZone - X: 2060 Y: 5018.36 Radius: 170
0-55-45 | [INFO] DynToxicZone - X: 2090 Y: 5036.71 Radius: 170
0-55-45 | [INFO] DynToxicZone - X: 2090 Y: 5036.71 Radius: 170
0-55-45 | [INFO] DynToxicZone - X: 2090 Y: 5036.71 Radius: 170
0-55-45 | [INFO] DynToxicZone - X: 2090 Y: 5036.71 Radius: 170
0-55-45 | [INFO] DynToxicZone - X: 2090 Y: 5036.71 Radius: 170
0-55-45 | [INFO] DynToxicZone - X: 2090 Y: 5036.71 Radius: 170
0-55-45 | [INFO] DynToxicZone - X: 2090 Y: 5036.71 Radius: 170
0-56-45 | [INFO] DynToxicZone - X: 2120 Y: 5055.07 Radius: 170
0-56-45 | [INFO] DynToxicZone - X: 2120 Y: 5055.07 Radius: 170
0-56-45 | [INFO] DynToxicZone - X: 2120 Y: 5055.07 Radius: 170
0-56-45 | [INFO] DynToxicZone - X: 2120 Y: 5055.07 Radius: 170
0-56-45 | [INFO] DynToxicZone - X: 2120 Y: 5055.07 Radius: 170
0-56-45 | [INFO] DynToxicZone - X: 2120 Y: 5055.07 Radius: 170
0-56-45 | [INFO] DynToxicZone - X: 2120 Y: 5055.07 Radius: 170
0-57-45 | [INFO] DynToxicZone - X: 2150 Y: 5073.43 Radius: 170
0-57-45 | [INFO] DynToxicZone - X: 2150 Y: 5073.43 Radius: 170
0-57-45 | [INFO] DynToxicZone - X: 2150 Y: 5073.43 Radius: 170
0-57-45 | [INFO] DynToxicZone - X: 2150 Y: 5073.43 Radius: 170
0-57-45 | [INFO] DynToxicZone - X: 2150 Y: 5073.43 Radius: 170
0-57-45 | [INFO] DynToxicZone - X: 2150 Y: 5073.43 Radius: 170
0-57-45 | [INFO] DynToxicZone - X: 2150 Y: 5073.43 Radius: 170
0-58-45 | [INFO] DynToxicZone - X: 2180 Y: 5091.79 Radius: 170
0-58-45 | [INFO] DynToxicZone - X: 2180 Y: 5091.79 Radius: 170
0-58-45 | [INFO] DynToxicZone - X: 2180 Y: 5091.79 Radius: 170
0-58-45 | [INFO] DynToxicZone - X: 2180 Y: 5091.79 Radius: 170
0-58-45 | [INFO] DynToxicZone - X: 2180 Y: 5091.79 Radius: 170
0-58-45 | [INFO] DynToxicZone - X: 2180 Y: 5091.79 Radius: 170
0-58-45 | [INFO] DynToxicZone - X: 2180 Y: 5091.79 Radius: 170
0-59-45 | [INFO] DynToxicZone - X: 2210 Y: 5110.14 Radius: 170
0-59-45 | [INFO] DynToxicZone - X: 2210 Y: 5110.14 Radius: 170
0-59-45 | [INFO] DynToxicZone - X: 2210 Y: 5110.14 Radius: 170
0-59-45 | [INFO] DynToxicZone - X: 2210 Y: 5110.14 Radius: 170
0-59-45 | [INFO] DynToxicZone - X: 2210 Y: 5110.14 Radius: 170
0-59-45 | [INFO] DynToxicZone - X: 2210 Y: 5110.14 Radius: 170
0-59-45 | [INFO] DynToxicZone - X: 2210 Y: 5110.14 Radius: 170
1-0-45 | [INFO] DynToxicZone - X: 2240 Y: 5128.5 Radius: 170
1-0-45 | [INFO] DynToxicZone - X: 2240 Y: 5128.5 Radius: 170
1-0-45 | [INFO] DynToxicZone - X: 2240 Y: 5128.5 Radius: 170
1-0-45 | [INFO] DynToxicZone - X: 2240 Y: 5128.5 Radius: 170
1-0-45 | [INFO] DynToxicZone - X: 2240 Y: 5128.5 Radius: 170
1-0-45 | [INFO] DynToxicZone - X: 2240 Y: 5128.5 Radius: 170
1-0-45 | [INFO] DynToxicZone - X: 2240 Y: 5128.5 Radius: 170
1-1-45 | [INFO] DynToxicZone - X: 2270 Y: 5146.86 Radius: 170
1-1-45 | [INFO] DynToxicZone - X: 2270 Y: 5146.86 Radius: 170
1-1-45 | [INFO] DynToxicZone - X: 2270 Y: 5146.86 Radius: 170
1-1-45 | [INFO] DynToxicZone - X: 2270 Y: 5146.86 Radius: 170
1-1-45 | [INFO] DynToxicZone - X: 2270 Y: 5146.86 Radius: 170
1-1-45 | [INFO] DynToxicZone - X: 2270 Y: 5146.86 Radius: 170
1-1-45 | [INFO] DynToxicZone - X: 2270 Y: 5146.86 Radius: 170
1-2-45 | [INFO] DynToxicZone - X: 2300 Y: 5165.21 Radius: 170
1-2-45 | [INFO] DynToxicZone - X: 2300 Y: 5165.21 Radius: 170
1-2-45 | [INFO] DynToxicZone - X: 2300 Y: 5165.21 Radius: 170
1-2-45 | [INFO] DynToxicZone - X: 2300 Y: 5165.21 Radius: 170
1-2-45 | [INFO] DynToxicZone - X: 2300 Y: 5165.21 Radius: 170
1-2-45 | [INFO] DynToxicZone - X: 2300 Y: 5165.21 Radius: 170
1-2-45 | [INFO] DynToxicZone - X: 2300 Y: 5165.21 Radius: 170
1-3-45 | [INFO] DynToxicZone - X: 2330 Y: 5183.57 Radius: 170
1-3-45 | [INFO] DynToxicZone - X: 2330 Y: 5183.57 Radius: 170
1-3-45 | [INFO] DynToxicZone - X: 2330 Y: 5183.57 Radius: 170
1-3-45 | [INFO] DynToxicZone - X: 2330 Y: 5183.57 Radius: 170
1-3-45 | [INFO] DynToxicZone - X: 2330 Y: 5183.57 Radius: 170
1-3-45 | [INFO] DynToxicZone - X: 2330 Y: 5183.57 Radius: 170
1-4-45 | [INFO] DynToxicZone - X: 2360 Y: 5201.93 Radius: 170
1-4-45 | [INFO] DynToxicZone - X: 2360 Y: 5201.93 Radius: 170
1-4-45 | [INFO] DynToxicZone - X: 2360 Y: 5201.93 Radius: 170
1-4-45 | [INFO] DynToxicZone - X: 2360 Y: 5201.93 Radius: 170
1-4-45 | [INFO] DynToxicZone - X: 2360 Y: 5201.93 Radius: 170
1-4-45 | [INFO] DynToxicZone - X: 2360 Y: 5201.93 Radius: 170
1-5-45 | [INFO] DynToxicZone - X: 2390 Y: 5220.29 Radius: 170
1-5-45 | [INFO] DynToxicZone - X: 2390 Y: 5220.29 Radius: 170
1-5-45 | [INFO] DynToxicZone - X: 2390 Y: 5220.29 Radius: 170
1-5-45 | [INFO] DynToxicZone - X: 2390 Y: 5220.29 Radius: 170
1-5-45 | [INFO] DynToxicZone - X: 2390 Y: 5220.29 Radius: 170
