Creation Time: 2021_2_16-20-29-0
20-29-0 | [INFO] TZManager - Started !
20-29-1 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
20-29-1 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
20-29-1 | [INFO] [LOOTSYSTEM]: Creature equal to 0!
20-29-1 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
20-29-1 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
20-29-1 | [INFO] 1
20-29-1 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:8010.2 Y:340.288 Z:14654.2
20-29-1 | [INFO] AKM
20-29-1 | [INFO] Mag_AKM_30Rnd
20-29-1 | [INFO] PSO1Optic
20-29-1 | [INFO] Mag_AKM_Drum75Rnd
20-29-1 | [INFO] AK_Suppressor
20-29-1 | [INFO] AK_PlasticHndgrd
20-29-1 | [INFO] AK_RailHndgrd_Black
20-29-1 | [INFO] AK_Bayonet
20-29-1 | [INFO] M4A1
20-29-1 | [INFO] M4_CarryHandleOptic
20-29-1 | [INFO] M4_CQBBttstck
20-29-1 | [INFO] M4_MPBttstck
20-29-1 | [INFO] M4_RISHndgrd
20-29-1 | [INFO] ToxicCure
20-29-1 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
20-29-2 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
20-29-2 | [INFO] 1
20-29-2 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:1896.77 Y:448.958 Z:13707.8
20-29-2 | [INFO] AmmoBox_545x39_20Rnd
20-29-2 | [INFO] AmmoBox_556x45_20Rnd
20-29-2 | [INFO] AmmoBox_762x39_20Rnd
20-29-2 | [INFO] AmmoBox_762x54_20Rnd
20-29-2 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
20-29-2 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
20-29-2 | [INFO] TZManager - Started !
20-29-2 | [INFO] TZToxicZone - Started !
20-29-2 | [INFO] DynToxicZone Spawned at X:2000 Y:5000
20-29-2 | [INFO] TZDynToxicZone - Started ! : ID:1
20-29-2 | [INFO] ZelenToNovyRestartMZ:12758
20-29-2 | [INFO] DynTZ.StartX<2000.000000, 179.596664, 5000.000000>
