Creation Time: 2021_1_25-17-2-5
17-2-5 | [INFO] TZManager - Started !
17-2-19 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
17-2-19 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
17-2-19 | [INFO] [LOOTSYSTEM]: Creature equal to 0!
17-2-19 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
17-2-19 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
17-2-19 | [INFO] 1
17-2-19 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:8040.3 Y:340.252 Z:14611.3
17-2-19 | [INFO] AKM
17-2-19 | [INFO] PSO1Optic
17-2-19 | [INFO] AK_PlasticHndgrd
17-2-19 | [INFO] AK_RailHndgrd_Black
17-2-19 | [INFO] AmmoBox_545x39_20Rnd
17-2-19 | [INFO] AmmoBox_556x45_20Rnd
17-2-19 | [INFO] AmmoBox_762x54_20Rnd
17-2-19 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
17-2-19 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
17-2-20 | [INFO] 1
17-2-20 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:1390.25 Y:464.569 Z:14428.6
17-2-20 | [INFO] AKM
17-2-20 | [INFO] Mag_AKM_Drum75Rnd
17-2-20 | [INFO] AK_PlasticHndgrd
17-2-20 | [INFO] AK_RailHndgrd_Black
17-2-20 | [INFO] ToxicCure
17-2-20 | [INFO] AmmoBox_545x39_20Rnd
17-2-20 | [INFO] AmmoBox_762x54_20Rnd
17-2-20 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
17-2-20 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
17-2-20 | [INFO] TZManager - Started !
17-2-20 | [INFO] TZToxicZone - Started !
17-47-52 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
17-47-52 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
17-47-52 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
17-47-52 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
17-47-52 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
17-47-52 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
17-47-52 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
17-47-52 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
17-47-52 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
17-47-52 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
17-47-52 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
17-47-52 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
17-47-52 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
17-47-52 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
17-47-52 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
17-47-52 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
17-47-52 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
17-47-52 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
17-47-52 | [INFO] [LOOTSYSTEM]: ToxicChestList has been deleted!
17-47-52 | [INFO] [LOOTSYSTEM]: ToxicChestList has been deleted!
17-47-52 | [INFO] 1
17-47-52 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army2- Position: X:7928.9 Y:340.478 Z:14670
17-47-52 | [INFO] ToxicCure
17-47-52 | [INFO] AmmoBox_545x39_20Rnd
17-47-52 | [INFO] AmmoBox_556x45_20Rnd
17-47-52 | [INFO] AmmoBox_762x39_20Rnd
17-47-52 | [INFO] AmmoBox_762x54_20Rnd
17-47-52 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
17-47-52 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
17-47-52 | [INFO] 1
17-47-52 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army2- Position: X:1696.09 Y:456.485 Z:14179.1
17-47-52 | [INFO] AK74
17-47-52 | [INFO] AK_RailHndgrd_Black
17-47-52 | [INFO] AK74_WoodBttstck
17-47-52 | [INFO] AK_Bayonet
17-47-52 | [INFO] AK_FoldingBttstck_Black
17-47-52 | [INFO] AK_Suppressor
17-47-52 | [INFO] FAL
17-47-52 | [INFO] Fal_FoldingBttstck
17-47-52 | [INFO] Mag_FAL_20Rnd
17-47-52 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
17-47-52 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
