Creation Time: 2021_3_21-18-3-4
18-3-4 | [INFO] TZToxicZoneCore - Started ! => Loading config...
18-3-4 | [INFO] Checking if old config...
18-3-4 | [INFO] Current config loading...
18-3-4 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
18-3-4 | [INFO] TZToxicZoneServer - Started
18-3-4 | [INFO] MVTZ Count:1
18-3-20 | [INFO] [TZ STATIC TOXICZONE] - StartParticles
18-3-21 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
18-3-21 | [INFO] [LOOTSYSTEM]: Creature equal to 0!
18-3-21 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
18-3-21 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
18-3-21 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
18-3-21 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
18-3-21 | [INFO] Cases count:9
18-3-21 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:8010.2 Y:340.288 Z:14654.2
18-3-21 | [INFO] ToxicCure
18-3-21 | [INFO] AmmoBox_545x39_20Rnd
18-3-21 | [INFO] AmmoBox_762x54_20Rnd
18-3-21 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
18-3-21 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
18-3-21 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
18-3-21 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
18-3-21 | [INFO] Cases count:16
18-3-21 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:1694.4 Y:448.403 Z:14210
18-3-21 | [INFO] AKM
18-3-21 | [INFO] Mag_AKM_30Rnd
18-3-21 | [INFO] Mag_AKM_Drum75Rnd
18-3-21 | [INFO] AK_PlasticHndgrd
18-3-21 | [INFO] AK_RailHndgrd_Black
18-3-21 | [INFO] ToxicCure
18-3-21 | [INFO] AmmoBox_545x39_20Rnd
18-3-21 | [INFO] AmmoBox_762x39_20Rnd
18-3-21 | [INFO] AmmoBox_762x54_20Rnd
18-3-21 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
18-3-21 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
18-4-3 | [INFO] m_MovingToxicZoneLocations count:0
18-4-3 | [INFO] m_MovingToxicZoneLocations count:0
18-7-29 | [INFO] m_MovingToxicZoneLocations count:0
18-8-43 | [INFO] m_MovingToxicZoneLocations count:0
18-10-17 | [INFO] m_MovingToxicZoneLocations count:0
18-11-27 | [INFO] m_MovingToxicZoneLocations count:0
18-13-0 | [INFO] m_MovingToxicZoneLocations count:0
18-20-14 | [INFO] m_MovingToxicZoneLocations count:0
18-20-32 | [INFO] m_MovingToxicZoneLocations count:0
18-20-42 | [INFO] m_MovingToxicZoneLocations count:0
18-22-22 | [INFO] m_MovingToxicZoneLocations count:0
18-24-39 | [INFO] m_MovingToxicZoneLocations count:0
18-35-56 | [INFO] m_MovingToxicZoneLocations count:0
18-48-23 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
18-48-23 | [INFO] [LOOTSYSTEM]: Creature equal to 0!
18-48-23 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
18-48-23 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
18-48-23 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
18-48-23 | [INFO] Cases count:9
18-48-23 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:7928.9 Y:340.478 Z:14670
18-48-23 | [INFO] SVD
18-48-23 | [INFO] FAL
18-48-23 | [INFO] Fal_FoldingBttstck
18-48-23 | [INFO] Fal_OeBttstck
18-48-23 | [INFO] Mag_FAL_20Rnd
18-48-23 | [INFO] ToxicCure
18-48-23 | [INFO] AmmoBox_545x39_20Rnd
18-48-23 | [INFO] AmmoBox_556x45_20Rnd
18-48-23 | [INFO] AmmoBox_762x39_20Rnd
18-48-23 | [INFO] AmmoBox_762x54_20Rnd
18-48-23 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
18-48-23 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
18-48-23 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
18-48-23 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
18-48-23 | [INFO] Cases count:16
18-48-23 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:1396.58 Y:464.58 Z:14450.6
18-48-23 | [INFO] ToxicCure
18-48-23 | [INFO] AmmoBox_556x45_20Rnd
18-48-23 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
18-48-23 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
18-57-24 | [INFO] m_MovingToxicZoneLocations count:0
18-59-8 | [INFO] m_MovingToxicZoneLocations count:0
18-59-26 | [INFO] m_MovingToxicZoneLocations count:0
19-3-30 | [INFO] m_MovingToxicZoneLocations count:0
19-4-0 | [INFO] m_MovingToxicZoneLocations count:0
19-6-24 | [INFO] m_MovingToxicZoneLocations count:0
19-9-45 | [INFO] m_MovingToxicZoneLocations count:0
19-22-4 | [INFO] m_MovingToxicZoneLocations count:0
19-33-23 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
19-33-23 | [INFO] [LOOTSYSTEM]: Creature equal to 0!
19-33-23 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
19-33-23 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
19-33-23 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
19-33-23 | [INFO] Cases count:9
19-33-23 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:7903.3 Y:339.05 Z:14637.4
19-33-23 | [INFO] SVD
19-33-23 | [INFO] PSO1Optic
19-33-23 | [INFO] Mag_SVD_10Rnd
19-33-23 | [INFO] AK74
19-33-23 | [INFO] AK_RailHndgrd_Black
19-33-23 | [INFO] AK74_WoodBttstck
19-33-23 | [INFO] AK_FoldingBttstck_Black
19-33-23 | [INFO] Mag_AK74_30Rnd
19-33-23 | [INFO] ToxicCure
19-33-23 | [INFO] AmmoBox_545x39_20Rnd
19-33-23 | [INFO] AmmoBox_762x39_20Rnd
19-33-23 | [INFO] AmmoBox_762x54_20Rnd
19-33-23 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
19-33-23 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
19-33-23 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
19-33-23 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
19-33-23 | [INFO] Cases count:16
19-33-23 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:1396.58 Y:464.58 Z:14450.6
19-33-23 | [INFO] SVD
19-33-23 | [INFO] AmmoBox_545x39_20Rnd
19-33-23 | [INFO] AmmoBox_556x45_20Rnd
19-33-23 | [INFO] AmmoBox_762x39_20Rnd
19-33-23 | [INFO] AmmoBox_762x54_20Rnd
19-33-23 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
19-33-23 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
