Creation Time: 2021_3_19-18-1-3
18-1-3 | [INFO] TZToxicZoneCore - Started ! => Loading config...
18-1-3 | [INFO] Checking if old config...
18-1-3 | [INFO] Current config loading...
18-1-3 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
18-1-3 | [INFO] TZToxicZoneServer - Started
18-1-3 | [INFO] MVTZ Count:1
18-1-19 | [INFO] [TZ STATIC TOXICZONE] - StartParticles
18-1-20 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
18-1-20 | [INFO] [LOOTSYSTEM]: Creature equal to 0!
18-1-20 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
18-1-20 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
18-1-20 | [INFO] NumberOfCratePerTime: 1
18-1-20 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:8040.3 Y:340.252 Z:14611.3
18-1-20 | [INFO] ToxicCure
18-1-20 | [INFO] AmmoBox_545x39_20Rnd
18-1-20 | [INFO] AmmoBox_762x54_20Rnd
18-1-20 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
18-1-20 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
18-1-20 | [INFO] NumberOfCratePerTime: 1
18-1-20 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:1694.4 Y:448.403 Z:14210
18-1-20 | [INFO] ToxicCure
18-1-20 | [INFO] AmmoBox_545x39_20Rnd
18-1-20 | [INFO] AmmoBox_762x54_20Rnd
18-1-20 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
18-1-20 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
18-5-42 | [INFO] m_MovingToxicZoneLocations count:0
18-36-37 | [INFO] m_MovingToxicZoneLocations count:0
18-46-22 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
18-46-22 | [INFO] [LOOTSYSTEM]: Creature equal to 0!
18-46-22 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
18-46-22 | [INFO] NumberOfCratePerTime: 1
