Creation Time: 2021_3_18-18-2-3
18-2-3 | [INFO] TZManager - Started !
18-2-3 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
18-2-3 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
18-2-3 | [INFO] [LOOTSYSTEM]: Creature equal to 0!
18-2-3 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
18-2-3 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
18-2-3 | [INFO] 1
18-2-3 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:8010.2 Y:340.288 Z:14654.2
18-2-3 | [INFO] AKM
18-2-3 | [INFO] Mag_AKM_30Rnd
18-2-3 | [INFO] PSO1Optic
18-2-3 | [INFO] Mag_AKM_Drum75Rnd
18-2-3 | [INFO] AK_Suppressor
18-2-3 | [INFO] AK_PlasticHndgrd
18-2-3 | [INFO] AK_RailHndgrd_Black
18-2-3 | [INFO] AK_Bayonet
18-2-3 | [INFO] M4A1
18-2-3 | [INFO] M4_CarryHandleOptic
18-2-3 | [INFO] M4_CQBBttstck
18-2-3 | [INFO] M4_MPBttstck
18-2-3 | [INFO] M4_RISHndgrd
18-2-3 | [INFO] ToxicCure
18-2-3 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
18-2-3 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
18-2-4 | [INFO] 1
18-2-4 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:1896.77 Y:448.958 Z:13707.8
18-2-4 | [INFO] AmmoBox_545x39_20Rnd
18-2-4 | [INFO] AmmoBox_556x45_20Rnd
18-2-4 | [INFO] AmmoBox_762x39_20Rnd
18-2-4 | [INFO] AmmoBox_762x54_20Rnd
18-2-4 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
18-2-4 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
18-2-4 | [INFO] TZManager - Started !
