Creation Time: 2021_2_17-13-54-2
13-54-2 | [INFO] TZManager - Started !
13-54-4 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
13-54-4 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
13-54-4 | [INFO] [LOOTSYSTEM]: Creature equal to 0!
13-54-4 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
13-54-4 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
13-54-4 | [INFO] 1
13-54-4 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:8010.2 Y:340.288 Z:14654.2
13-54-4 | [INFO] AKM
13-54-4 | [INFO] Mag_AKM_30Rnd
13-54-4 | [INFO] PSO1Optic
13-54-4 | [INFO] Mag_AKM_Drum75Rnd
13-54-4 | [INFO] AK_Suppressor
13-54-4 | [INFO] AK_PlasticHndgrd
13-54-4 | [INFO] AK_RailHndgrd_Black
13-54-4 | [INFO] AK_Bayonet
13-54-4 | [INFO] M4A1
13-54-4 | [INFO] M4_CarryHandleOptic
13-54-4 | [INFO] M4_CQBBttstck
13-54-4 | [INFO] M4_MPBttstck
13-54-4 | [INFO] M4_RISHndgrd
13-54-4 | [INFO] ToxicCure
13-54-4 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
13-54-4 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
13-54-4 | [INFO] 1
13-54-4 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:1896.77 Y:448.958 Z:13707.8
13-54-4 | [INFO] AmmoBox_545x39_20Rnd
13-54-4 | [INFO] AmmoBox_556x45_20Rnd
13-54-4 | [INFO] AmmoBox_762x39_20Rnd
13-54-4 | [INFO] AmmoBox_762x54_20Rnd
13-54-4 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
13-54-4 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
13-54-4 | [INFO] TZManager - Started !
13-54-4 | [INFO] TZToxicZone - Started !
13-54-5 | [INFO] DynToxicZone Spawned at X:2000 Y:5000
13-54-5 | [INFO] TZDynToxicZone - Started ! : ID:1
13-54-5 | [INFO] ZelenToNovyRestartMZ:12758
13-54-5 | [INFO] DynTZ.StartX<2000.000000, 179.596664, 5000.000000>
