Creation Time: 2021_3_10-12-19-9
12-19-9 | [INFO] TZManager - Started !
12-19-10 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
12-19-10 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
12-19-10 | [INFO] [LOOTSYSTEM]: Creature equal to 0!
12-19-10 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
12-19-10 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
12-19-10 | [INFO] 1
12-19-10 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:8010.2 Y:340.288 Z:14654.2
12-19-10 | [INFO] AKM
12-19-10 | [INFO] Mag_AKM_30Rnd
12-19-10 | [INFO] PSO1Optic
12-19-10 | [INFO] Mag_AKM_Drum75Rnd
12-19-10 | [INFO] AK_Suppressor
12-19-10 | [INFO] AK_PlasticHndgrd
12-19-10 | [INFO] AK_RailHndgrd_Black
12-19-10 | [INFO] AK_Bayonet
12-19-10 | [INFO] M4A1
12-19-10 | [INFO] M4_CarryHandleOptic
12-19-10 | [INFO] M4_CQBBttstck
12-19-10 | [INFO] M4_MPBttstck
12-19-10 | [INFO] M4_RISHndgrd
12-19-10 | [INFO] ToxicCure
12-19-10 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
12-19-10 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
12-19-10 | [INFO] 1
12-19-10 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:1896.77 Y:448.958 Z:13707.8
12-19-10 | [INFO] AmmoBox_545x39_20Rnd
12-19-10 | [INFO] AmmoBox_556x45_20Rnd
12-19-10 | [INFO] AmmoBox_762x39_20Rnd
12-19-10 | [INFO] AmmoBox_762x54_20Rnd
12-19-10 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
12-19-10 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
12-19-10 | [INFO] TZManager - Started !
12-19-10 | [INFO] TZToxicZone - Started !
12-19-10 | [INFO] DynToxicZone Spawned at X:6572 Y:5000
12-19-10 | [INFO] TZDynToxicZone - Started ! : ID:1
12-19-10 | [INFO] ZelenToNovyRestartMZ:12758
12-19-10 | [INFO] DynTZ.StartX<6572.000000, 276.537415, 5000.000000>
12-23-41 | [INFO] DynToxicZone - X: 6692 Y: 7852.71 Radius: 170
12-24-41 | [INFO] DynToxicZone - X: 6722 Y: 7871.07 Radius: 170
12-25-41 | [INFO] DynToxicZone - X: 6752 Y: 7889.43 Radius: 170
12-26-41 | [INFO] DynToxicZone - X: 6782 Y: 7907.78 Radius: 170
12-27-41 | [INFO] DynToxicZone - X: 6812 Y: 7926.14 Radius: 170
12-28-41 | [INFO] DynToxicZone - X: 6842 Y: 7944.5 Radius: 170
12-29-41 | [INFO] DynToxicZone - X: 6872 Y: 7962.86 Radius: 170
12-30-41 | [INFO] DynToxicZone - X: 6902 Y: 7981.21 Radius: 170
12-31-41 | [INFO] DynToxicZone - X: 6932 Y: 7999.57 Radius: 170
12-32-41 | [INFO] DynToxicZone - X: 6962 Y: 8017.93 Radius: 170
12-33-41 | [INFO] DynToxicZone - X: 6992 Y: 8036.28 Radius: 170
12-34-41 | [INFO] DynToxicZone - X: 7022 Y: 8054.64 Radius: 170
12-35-41 | [INFO] DynToxicZone - X: 7052 Y: 8073 Radius: 170
12-36-41 | [INFO] DynToxicZone - X: 7082 Y: 8091.36 Radius: 170
12-37-41 | [INFO] DynToxicZone - X: 7112 Y: 8109.71 Radius: 170
12-38-41 | [INFO] DynToxicZone - X: 7142 Y: 8128.07 Radius: 170
12-39-41 | [INFO] DynToxicZone - X: 7172 Y: 8146.43 Radius: 170
12-40-41 | [INFO] DynToxicZone - X: 7202 Y: 8164.79 Radius: 170
12-41-41 | [INFO] DynToxicZone - X: 7232 Y: 8183.14 Radius: 170
12-42-41 | [INFO] DynToxicZone - X: 7262 Y: 8201.5 Radius: 170
12-43-41 | [INFO] DynToxicZone - X: 7292 Y: 8219.86 Radius: 170
12-44-41 | [INFO] DynToxicZone - X: 7322 Y: 8238.21 Radius: 170
12-45-41 | [INFO] DynToxicZone - X: 7352 Y: 8256.57 Radius: 170
12-46-41 | [INFO] DynToxicZone - X: 7382 Y: 8274.93 Radius: 170
12-47-41 | [INFO] DynToxicZone - X: 7412 Y: 8293.29 Radius: 170
12-48-41 | [INFO] DynToxicZone - X: 7442 Y: 8311.64 Radius: 170
12-49-41 | [INFO] DynToxicZone - X: 7472 Y: 8330 Radius: 170
12-50-41 | [INFO] DynToxicZone - X: 7502 Y: 8348.36 Radius: 170
12-51-41 | [INFO] DynToxicZone - X: 7532 Y: 8366.71 Radius: 170
12-52-41 | [INFO] DynToxicZone - X: 7562 Y: 8385.07 Radius: 170
12-53-41 | [INFO] DynToxicZone - X: 7592 Y: 8403.43 Radius: 170
12-54-41 | [INFO] DynToxicZone - X: 7622 Y: 8421.79 Radius: 170
12-55-41 | [INFO] DynToxicZone - X: 7652 Y: 8440.14 Radius: 170
12-56-41 | [INFO] DynToxicZone - X: 7682 Y: 8458.5 Radius: 170
12-57-41 | [INFO] DynToxicZone - X: 7712 Y: 8476.86 Radius: 170
