Creation Time: 2021_1_21-21-7-7
21-7-7 | [INFO] TZManager - Started !
21-7-22 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
21-7-22 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
21-7-22 | [INFO] [LOOTSYSTEM]: Creature equal to 0!
21-7-22 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
21-7-22 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
21-7-22 | [INFO] 1
21-7-22 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:8040.3 Y:340.252 Z:14611.3
21-7-22 | [INFO] AKM
21-7-22 | [INFO] PSO1Optic
21-7-22 | [INFO] AK_PlasticHndgrd
21-7-22 | [INFO] AK_RailHndgrd_Black
21-7-22 | [INFO] AmmoBox_545x39_20Rnd
21-7-22 | [INFO] AmmoBox_556x45_20Rnd
21-7-22 | [INFO] AmmoBox_762x54_20Rnd
21-7-22 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
21-7-22 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
21-7-23 | [INFO] 1
21-7-23 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:1390.25 Y:464.569 Z:14428.6
21-7-23 | [INFO] AKM
21-7-23 | [INFO] Mag_AKM_Drum75Rnd
21-7-23 | [INFO] AK_PlasticHndgrd
21-7-23 | [INFO] AK_RailHndgrd_Black
21-7-23 | [INFO] ToxicCure
21-7-23 | [INFO] AmmoBox_545x39_20Rnd
21-7-23 | [INFO] AmmoBox_762x54_20Rnd
21-7-23 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
21-7-23 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
21-7-23 | [INFO] TZManager - Started !
21-7-23 | [INFO] TZToxicZone - Started !
21-53-5 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
21-53-5 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
21-53-5 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
21-53-5 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
21-53-5 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
21-53-5 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
21-53-5 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
21-53-5 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
21-53-5 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
21-53-5 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
21-53-5 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
21-53-5 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
21-53-5 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
21-53-5 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
21-53-5 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
21-53-5 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
21-53-5 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
21-53-5 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
21-53-5 | [INFO] [LOOTSYSTEM]: ToxicChestList has been deleted!
21-53-5 | [INFO] [LOOTSYSTEM]: ToxicChestList has been deleted!
21-53-5 | [INFO] 1
21-53-5 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:8040.3 Y:340.252 Z:14611.3
21-53-5 | [INFO] M4A1
21-53-5 | [INFO] Mag_STANAGCoupled_30Rnd
21-53-5 | [INFO] M4_CarryHandleOptic
21-53-5 | [INFO] M4_MPBttstck
21-53-5 | [INFO] M4_MPHndgrd
21-53-5 | [INFO] M4_RISHndgrd
21-53-5 | [INFO] AmmoBox_556x45_20Rnd
21-53-5 | [INFO] AmmoBox_762x39_20Rnd
21-53-5 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
21-53-5 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
21-53-5 | [INFO] 1
21-53-5 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:1896.77 Y:448.958 Z:13707.8
21-53-5 | [INFO] AKM
21-53-5 | [INFO] Mag_AKM_30Rnd
21-53-5 | [INFO] PSO1Optic
21-53-5 | [INFO] AK_PlasticHndgrd
21-53-5 | [INFO] AK_RailHndgrd_Black
21-53-5 | [INFO] ToxicCure
21-53-5 | [INFO] AmmoBox_545x39_20Rnd
21-53-5 | [INFO] AmmoBox_556x45_20Rnd
21-53-5 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
21-53-5 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
22-38-7 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
22-38-7 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
22-38-7 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
22-38-7 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
22-38-7 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
22-38-7 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
22-38-7 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
