Creation Time: 2021_1_29-15-5-5
15-5-5 | [INFO] TZManager - Started !
15-5-20 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
15-5-20 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
15-5-20 | [INFO] [LOOTSYSTEM]: Creature equal to 0!
15-5-20 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
15-5-20 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
15-5-20 | [INFO] 1
15-5-20 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:8040.3 Y:340.252 Z:14611.3
15-5-20 | [INFO] AKM
15-5-20 | [INFO] PSO1Optic
15-5-20 | [INFO] AK_PlasticHndgrd
15-5-20 | [INFO] AK_RailHndgrd_Black
15-5-20 | [INFO] AmmoBox_545x39_20Rnd
15-5-20 | [INFO] AmmoBox_556x45_20Rnd
15-5-20 | [INFO] AmmoBox_762x54_20Rnd
15-5-20 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
15-5-20 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
15-5-20 | [INFO] 1
15-5-20 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:1390.25 Y:464.569 Z:14428.6
15-5-20 | [INFO] AKM
15-5-20 | [INFO] Mag_AKM_Drum75Rnd
15-5-20 | [INFO] AK_PlasticHndgrd
15-5-20 | [INFO] AK_RailHndgrd_Black
15-5-20 | [INFO] ToxicCure
15-5-20 | [INFO] AmmoBox_545x39_20Rnd
15-5-20 | [INFO] AmmoBox_762x54_20Rnd
15-5-21 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
15-5-21 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
15-5-21 | [INFO] TZManager - Started !
15-5-21 | [INFO] TZToxicZone - Started !
15-51-9 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
15-51-9 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
15-51-9 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
15-51-9 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
15-51-9 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
15-51-9 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
15-51-9 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
15-51-9 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
15-51-9 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
15-51-9 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
15-51-9 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
15-51-9 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
15-51-9 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
15-51-9 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
15-51-9 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
15-51-9 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
15-51-9 | [INFO] [LOOTSYSTEM]: Creature has been deleted!
15-51-9 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
