Creation Time: 2021_3_28-12-8-9
12-8-9 | [INFO] TZToxicZoneCore - Started ! => Loading config...
12-8-9 | [INFO] Checking if old config...
12-8-9 | [INFO] Current config loading...
12-8-9 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
12-8-9 | [INFO] TZToxicZoneServer - Started
12-8-9 | [INFO] MVTZ Count:1
12-8-26 | [INFO] [TZ STATIC TOXICZONE] - StartParticles
12-8-27 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
12-8-27 | [INFO] [LOOTSYSTEM]: Creature equal to 0!
12-8-27 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
12-8-27 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
12-8-27 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
12-8-27 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
12-8-27 | [INFO] Cases count:9
12-8-27 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:8029.16 Y:339.823 Z:14642.8
12-8-27 | [INFO] AKM
12-8-27 | [INFO] Mag_AKM_30Rnd
12-8-27 | [INFO] Mag_AKM_30Rnd
12-8-27 | [INFO] AK_PlasticHndgrd
12-8-27 | [INFO] AK_RailHndgrd_Black
12-8-27 | [INFO] AK_Bayonet
12-8-27 | [INFO] AK_FoldingBttstck_Black
12-8-27 | [INFO] M4A1
12-8-27 | [INFO] ACOGOptic
12-8-27 | [INFO] M4_CarryHandleOptic
12-8-27 | [INFO] M4_CQBBttstck
12-8-27 | [INFO] M4_MPHndgrd
12-8-27 | [INFO] ToxicCure
12-8-27 | [INFO] AmmoBox_545x39_20Rnd
12-8-27 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
12-8-27 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
12-8-27 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
12-8-27 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
12-8-27 | [INFO] Cases count:16
12-8-27 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:1678.46 Y:445.741 Z:13823.8
12-8-27 | [INFO] AKM
12-8-27 | [INFO] Mag_AKM_30Rnd
12-8-27 | [INFO] Mag_AKM_Drum75Rnd
12-8-27 | [INFO] AK_RailHndgrd_Black
