Creation Time: 2021_2_26-16-21-8
16-21-8 | [INFO] TZManager - Started !
16-21-9 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
16-21-10 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
16-21-10 | [INFO] [LOOTSYSTEM]: Creature equal to 0!
16-21-10 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
16-21-10 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
16-21-10 | [INFO] 1
16-21-10 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:8010.2 Y:340.288 Z:14654.2
16-21-10 | [INFO] AKM
16-21-10 | [INFO] Mag_AKM_30Rnd
16-21-10 | [INFO] PSO1Optic
16-21-10 | [INFO] Mag_AKM_Drum75Rnd
16-21-10 | [INFO] AK_Suppressor
16-21-10 | [INFO] AK_PlasticHndgrd
16-21-10 | [INFO] AK_RailHndgrd_Black
16-21-10 | [INFO] AK_Bayonet
16-21-10 | [INFO] M4A1
16-21-10 | [INFO] M4_CarryHandleOptic
16-21-10 | [INFO] M4_CQBBttstck
16-21-10 | [INFO] M4_MPBttstck
16-21-10 | [INFO] M4_RISHndgrd
16-21-10 | [INFO] ToxicCure
16-21-10 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
16-21-10 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
16-21-10 | [INFO] 1
16-21-10 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:1896.77 Y:448.958 Z:13707.8
16-21-10 | [INFO] AmmoBox_545x39_20Rnd
16-21-10 | [INFO] AmmoBox_556x45_20Rnd
16-21-10 | [INFO] AmmoBox_762x39_20Rnd
16-21-10 | [INFO] AmmoBox_762x54_20Rnd
16-21-10 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
16-21-10 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
16-21-10 | [INFO] TZManager - Started !
16-21-10 | [INFO] TZToxicZone - Started !
16-21-11 | [INFO] DynToxicZone Spawned at X:6572 Y:5000
16-21-11 | [INFO] TZDynToxicZone - Started ! : ID:1
16-21-11 | [INFO] ZelenToNovyRestartMZ:12758
16-21-11 | [INFO] DynTZ.StartX<6572.000000, 276.537415, 5000.000000>
16-23-47 | [INFO] DynToxicZone - X: 6602 Y: 7797.64 Radius: 170
16-23-47 | [INFO] DynToxicZone - X: 6602 Y: 7797.64 Radius: 170
16-23-47 | [INFO] DynToxicZone - X: 6602 Y: 7797.64 Radius: 170
16-24-48 | [INFO] DynToxicZone - X: 6632 Y: 7816 Radius: 170
16-24-48 | [INFO] DynToxicZone - X: 6632 Y: 7816 Radius: 170
16-24-48 | [INFO] DynToxicZone - X: 6632 Y: 7816 Radius: 170
16-24-48 | [INFO] DynToxicZone - X: 6632 Y: 7816 Radius: 170
16-25-48 | [INFO] DynToxicZone - X: 6662 Y: 7834.35 Radius: 170
16-25-48 | [INFO] DynToxicZone - X: 6662 Y: 7834.35 Radius: 170
16-25-48 | [INFO] DynToxicZone - X: 6662 Y: 7834.35 Radius: 170
16-25-48 | [INFO] DynToxicZone - X: 6662 Y: 7834.35 Radius: 170
16-26-49 | [INFO] DynToxicZone - X: 6692 Y: 7852.71 Radius: 170
16-26-49 | [INFO] DynToxicZone - X: 6692 Y: 7852.71 Radius: 170
16-26-49 | [INFO] DynToxicZone - X: 6692 Y: 7852.71 Radius: 170
16-26-49 | [INFO] DynToxicZone - X: 6692 Y: 7852.71 Radius: 170
16-26-49 | [INFO] DynToxicZone - X: 6692 Y: 7852.71 Radius: 170
16-27-49 | [INFO] DynToxicZone - X: 6722 Y: 7871.07 Radius: 170
16-27-49 | [INFO] DynToxicZone - X: 6722 Y: 7871.07 Radius: 170
16-27-49 | [INFO] DynToxicZone - X: 6722 Y: 7871.07 Radius: 170
16-27-49 | [INFO] DynToxicZone - X: 6722 Y: 7871.07 Radius: 170
16-27-49 | [INFO] DynToxicZone - X: 6722 Y: 7871.07 Radius: 170
16-28-49 | [INFO] DynToxicZone - X: 6752 Y: 7889.43 Radius: 170
16-28-49 | [INFO] DynToxicZone - X: 6752 Y: 7889.43 Radius: 170
16-28-49 | [INFO] DynToxicZone - X: 6752 Y: 7889.43 Radius: 170
