Creation Time: 2021_4_5-12-11-8
12-11-8 | [INFO] TZToxicZoneCore - Started ! => Loading config...
12-11-8 | [INFO] Checking if old config...
12-11-8 | [INFO] Current config loading...
12-11-8 | [INFO] TZToxicZoneServer - Started
12-11-8 | [INFO] MVTZ Count:1
12-11-41 | [INFO] [TZ STATIC TOXICZONE] - StartParticles
13-54-37 | [INFO] m_MovingToxicZoneLocations count:0
14-6-52 | [INFO] m_MovingToxicZoneLocations count:0
14-29-47 | [INFO] m_MovingToxicZoneLocations count:0
14-52-48 | [INFO] m_MovingToxicZoneLocations count:0
14-59-20 | [INFO] m_MovingToxicZoneLocations count:0
15-18-36 | [INFO] m_MovingToxicZoneLocations count:0
15-51-54 | [INFO] m_MovingToxicZoneLocations count:0
16-24-54 | [INFO] m_MovingToxicZoneLocations count:0
16-28-49 | [INFO] m_MovingToxicZoneLocations count:0
16-32-47 | [INFO] m_MovingToxicZoneLocations count:0
16-35-13 | [INFO] m_MovingToxicZoneLocations count:0
16-35-59 | [INFO] m_MovingToxicZoneLocations count:0
16-42-14 | [INFO] m_MovingToxicZoneLocations count:0
