Creation Time: 2021_3_7-15-18-5
15-18-5 | [INFO] TZManager - Started !
15-18-5 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
15-18-5 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
15-18-5 | [INFO] [LOOTSYSTEM]: Creature equal to 0!
15-18-5 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
15-18-5 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
15-18-5 | [INFO] 1
15-18-5 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:8010.2 Y:340.288 Z:14654.2
15-18-5 | [INFO] AKM
15-18-5 | [INFO] Mag_AKM_30Rnd
15-18-5 | [INFO] PSO1Optic
15-18-5 | [INFO] Mag_AKM_Drum75Rnd
15-18-5 | [INFO] AK_Suppressor
15-18-5 | [INFO] AK_PlasticHndgrd
15-18-5 | [INFO] AK_RailHndgrd_Black
15-18-5 | [INFO] AK_Bayonet
15-18-5 | [INFO] M4A1
15-18-5 | [INFO] M4_CarryHandleOptic
15-18-5 | [INFO] M4_CQBBttstck
15-18-5 | [INFO] M4_MPBttstck
15-18-5 | [INFO] M4_RISHndgrd
15-18-5 | [INFO] ToxicCure
15-18-5 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
15-18-5 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
15-18-5 | [INFO] 1
15-18-5 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:1896.77 Y:448.958 Z:13707.8
15-18-5 | [INFO] AmmoBox_545x39_20Rnd
15-18-5 | [INFO] AmmoBox_556x45_20Rnd
15-18-5 | [INFO] AmmoBox_762x39_20Rnd
15-18-5 | [INFO] AmmoBox_762x54_20Rnd
15-18-5 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
15-18-5 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
15-18-5 | [INFO] TZManager - Started !
15-18-5 | [INFO] TZToxicZone - Started !
15-18-5 | [INFO] DynToxicZone Spawned at X:6572 Y:5000
15-18-5 | [INFO] TZDynToxicZone - Started ! : ID:1
15-18-5 | [INFO] ZelenToNovyRestartMZ:12758
15-18-5 | [INFO] DynTZ.StartX<6572.000000, 276.537415, 5000.000000>
15-25-36 | [INFO] DynToxicZone - X: 6782 Y: 7907.78 Radius: 170
15-26-36 | [INFO] DynToxicZone - X: 6812 Y: 7926.14 Radius: 170
15-27-36 | [INFO] DynToxicZone - X: 6842 Y: 7944.5 Radius: 170
15-28-36 | [INFO] DynToxicZone - X: 6872 Y: 7962.86 Radius: 170
15-29-36 | [INFO] DynToxicZone - X: 6902 Y: 7981.21 Radius: 170
15-30-36 | [INFO] DynToxicZone - X: 6932 Y: 7999.57 Radius: 170
15-31-36 | [INFO] DynToxicZone - X: 6962 Y: 8017.93 Radius: 170
15-32-36 | [INFO] DynToxicZone - X: 6992 Y: 8036.28 Radius: 170
15-33-36 | [INFO] DynToxicZone - X: 7022 Y: 8054.64 Radius: 170
15-34-36 | [INFO] DynToxicZone - X: 7052 Y: 8073 Radius: 170
15-35-36 | [INFO] DynToxicZone - X: 7082 Y: 8091.36 Radius: 170
15-36-36 | [INFO] DynToxicZone - X: 7112 Y: 8109.71 Radius: 170
15-37-36 | [INFO] DynToxicZone - X: 7142 Y: 8128.07 Radius: 170
15-38-36 | [INFO] DynToxicZone - X: 7172 Y: 8146.43 Radius: 170
15-38-36 | [INFO] DynToxicZone - X: 7172 Y: 8146.43 Radius: 170
15-39-36 | [INFO] DynToxicZone - X: 7202 Y: 8164.79 Radius: 170
15-39-36 | [INFO] DynToxicZone - X: 7202 Y: 8164.79 Radius: 170
15-40-36 | [INFO] DynToxicZone - X: 7232 Y: 8183.14 Radius: 170
15-40-36 | [INFO] DynToxicZone - X: 7232 Y: 8183.14 Radius: 170
15-41-36 | [INFO] DynToxicZone - X: 7262 Y: 8201.5 Radius: 170
15-41-36 | [INFO] DynToxicZone - X: 7262 Y: 8201.5 Radius: 170
15-42-36 | [INFO] DynToxicZone - X: 7292 Y: 8219.86 Radius: 170
15-42-36 | [INFO] DynToxicZone - X: 7292 Y: 8219.86 Radius: 170
15-43-36 | [INFO] DynToxicZone - X: 7322 Y: 8238.21 Radius: 170
15-43-36 | [INFO] DynToxicZone - X: 7322 Y: 8238.21 Radius: 170
15-44-36 | [INFO] DynToxicZone - X: 7352 Y: 8256.57 Radius: 170
15-44-36 | [INFO] DynToxicZone - X: 7352 Y: 8256.57 Radius: 170
