[COT 2021-03-08 02:10:56] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-08 02:10:56] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-08 02:10:56] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-08 02:11:00] 76561198036774377: Entered the Free Camera
[COT 2021-03-08 02:11:20] 76561198036774377: Left the Free Camera
[COT 2021-03-08 02:11:23] 76561198036774377: Entered the Free Camera
[COT 2021-03-08 02:16:36] 76561198036774377: Spawned Entity Defender 110 Rear left door UN (Defender110_dver_1_2<5bb6b700>, -1, 500) at <3719.320801, 402.012390, 5979.999023>
[COT 2021-03-08 02:16:37] 76561198036774377: Spawned Entity Defender 110 Rear right door UN (Defender110_dver_2_2<5bb6be10>, -1, 500) at <3719.320801, 402.012390, 5979.999023>
[COT 2021-03-08 02:16:38] 76561198036774377: Spawned Entity Defender 110 Front left door Red (Defender110_dver_1_1<5bb70bc0>, -1, 500) at <3719.320801, 402.012390, 5979.999023>
[COT 2021-03-08 02:16:40] 76561198036774377: Spawned Entity Defender 110 Front right door Red (Defender110_dver_2_1<5bb73620>, -1, 500) at <3719.320801, 402.012390, 5979.999023>
[COT 2021-03-08 02:16:42] 76561198036774377: Spawned Entity Defender 110 Rear left door Red (Defender110_dver_1_2<5bb6f690>, -1, 500) at <3719.320801, 402.012390, 5979.999023>
[COT 2021-03-08 02:16:43] 76561198036774377: Spawned Entity Defender 110 Rear right door Red (Defender110_dver_2_2<5bb75970>, -1, 500) at <3719.320801, 402.012390, 5979.999023>
[COT 2021-03-08 02:16:48] 76561198036774377: Spawned Entity Defender 110 Hood (Defender110_kapot<5bb76080>, -1, 600) at <3719.320801, 402.012390, 5979.999023>
[COT 2021-03-08 02:16:50] 76561198036774377: Spawned Entity Defender 110 Trunk (Defender110_bagazhnik<5bb719e0>, -1, 500) at <3719.320801, 402.012390, 5979.999023>
[COT 2021-03-08 02:16:51] 76561198036774377: Spawned Entity Defender 110 Hood Green (Defender110_kapot<5bb75260>, -1, 600) at <3719.320801, 402.214844, 5979.672852>
[COT 2021-03-08 02:16:52] 76561198036774377: Spawned Entity Defender 110 Trunk Green (Defender110_bagazhnik<5bb73d30>, -1, 500) at <3719.320801, 402.214844, 5979.672852>
[COT 2021-03-08 02:16:54] 76561198036774377: Spawned Entity Defender 110 Hood UN (Defender110_kapot<5bb6fda0>, -1, 600) at <3719.320801, 402.371857, 5979.346680>
[COT 2021-03-08 02:16:55] 76561198036774377: Spawned Entity Defender 110 Trunk UN (Defender110_bagazhnik<5bb74440>, -1, 500) at <3719.320801, 402.371857, 5979.346680>
[COT 2021-03-08 02:16:56] 76561198036774377: Spawned Entity Defender 110 Hood Red (Defender110_kapot<5bb720f0>, -1, 600) at <3719.320801, 402.511017, 5979.020508>
[COT 2021-03-08 02:16:57] 76561198036774377: Spawned Entity Defender 110 Trunk Red (Defender110_bagazhnik<5bb712d0>, -1, 500) at <3719.320801, 402.511017, 5979.020508>
[COT 2021-03-08 02:17:12] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<5bb72f10>, -1, 600) at <3719.320801, 402.683807, 5978.694336>
[COT 2021-03-08 02:17:12] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<5bb6e870>, -1, 600) at <3719.320801, 402.683807, 5978.694336>
[COT 2021-03-08 02:17:12] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<5bb74b50>, -1, 600) at <3719.320801, 402.683807, 5978.694336>
[COT 2021-03-08 02:17:12] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<5bb76790>, -1, 600) at <3719.320801, 402.683807, 5978.694336>
[COT 2021-03-08 02:17:13] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<5bb36780>, -1, 600) at <3719.320801, 402.683807, 5978.694336>
[COT 2021-03-08 02:17:13] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<5bb36e90>, -1, 600) at <3719.320801, 402.683807, 5978.694336>
[COT 2021-03-08 02:17:13] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<5bb3a710>, -1, 600) at <3719.320801, 402.683807, 5978.694336>
[COT 2021-03-08 02:17:13] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<5bb391e0>, -1, 600) at <3719.320801, 402.683807, 5978.694336>
[COT 2021-03-08 02:17:14] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<5bb383c0>, -1, 600) at <3719.320801, 402.683807, 5978.694336>
[COT 2021-03-08 02:17:14] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<5bb3b530>, -1, 600) at <3719.320801, 402.683807, 5978.694336>
[COT 2021-03-08 02:17:15] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<5bb3d880>, -1, 600) at <3719.320801, 402.683807, 5978.694336>
[COT 2021-03-08 02:17:16] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<5bb3ca60>, -1, 600) at <3719.320801, 402.683807, 5978.694336>
[COT 2021-03-08 02:17:16] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<5bb3ae20>, -1, 600) at <3719.320801, 402.683807, 5978.694336>
[COT 2021-03-08 02:17:16] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<5bb36070>, -1, 600) at <3719.320801, 402.683807, 5978.694336>
[COT 2021-03-08 02:17:16] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<5bb3a000>, -1, 600) at <3719.320801, 402.683807, 5978.694336>
[COT 2021-03-08 02:17:17] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<5bb375a0>, -1, 600) at <3719.320801, 402.683807, 5978.694336>
[COT 2021-03-08 02:17:17] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<5bb3d170>, -1, 600) at <3719.320801, 402.683807, 5978.694336>
