[COT 2021-03-29 22:03:24] 76561198036774377: Set GodMode To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:03:24] 76561198036774377: Set UnlimitedAmmo To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:03:24] 76561198036774377: Set UnlimitedStamina To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:03:27] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:03:28] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:03:41] 76561198036774377: Teleported to position <429.244751, 421.685669, 11189.668945>
[COT 2021-03-29 22:04:34] 76561198036774377: Bleeding stopped [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:04:36] 76561198036774377: Bleeding stopped [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:04:39] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:04:39] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:39:42] 76561198036774377: Spawned Entity Gunwall display kit (gunwall_metal_kit_mung<f5ec0080>, -1, 100) at <4139.495605, 348.732391, 14605.777344>
[COT 2021-03-29 22:41:01] 76561198036774377: Spawned Entity Canopy Tent (PartyTent_Brown<abe635b0>, -1, 1400) at <4142.511230, 349.843719, 14615.831055>
[COT 2021-03-29 22:42:55] 76561198036774377: Spawned Entity Canopy Tent (PartyTent_Brown<abe69f90>, -1, 1400) at <4143.449219, 349.717804, 14614.501953>
[COT 2021-03-29 22:45:41] 76561198036774377: Spawned Entity Firewood (Firewood<d62299a0>, 1, 500) at <4137.666992, 348.509583, 14603.924805>
[COT 2021-03-29 22:45:41] 76561198036774377: Spawned Entity Firewood (Firewood<d62401d0>, 1, 500) at <4137.666992, 348.509583, 14603.924805>
[COT 2021-03-29 22:45:41] 76561198036774377: Spawned Entity Firewood (Firewood<d623d060>, 1, 500) at <4137.666992, 348.509583, 14603.924805>
[COT 2021-03-29 22:45:41] 76561198036774377: Spawned Entity Firewood (Firewood<d6219450>, 1, 500) at <4137.666992, 348.509583, 14603.924805>
[COT 2021-03-29 22:45:42] 76561198036774377: Spawned Entity Firewood (Firewood<d6211c40>, 1, 500) at <4137.666992, 348.509583, 14603.924805>
[COT 2021-03-29 22:46:03] 76561198036774377: Spawned Entity Short Stick (WoodenStick<ee759b00>, 1, 250) at <4137.666992, 348.509583, 14603.924805>
[COT 2021-03-29 22:46:03] 76561198036774377: Spawned Entity Short Stick (WoodenStick<ee761a20>, 1, 250) at <4137.666992, 348.509583, 14603.924805>
[COT 2021-03-29 22:46:03] 76561198036774377: Spawned Entity Short Stick (WoodenStick<ee75b030>, 1, 250) at <4137.666992, 348.509583, 14603.924805>
[COT 2021-03-29 22:46:03] 76561198036774377: Spawned Entity Short Stick (WoodenStick<ee76d1c0>, 1, 250) at <4137.666992, 348.509583, 14603.924805>
[COT 2021-03-29 22:46:03] 76561198036774377: Spawned Entity Short Stick (WoodenStick<ee768410>, 1, 250) at <4137.666992, 348.509583, 14603.924805>
[COT 2021-03-29 22:46:03] 76561198036774377: Spawned Entity Short Stick (WoodenStick<ee770330>, 1, 250) at <4137.666992, 348.509583, 14603.924805>
[COT 2021-03-29 22:46:04] 76561198036774377: Spawned Entity Short Stick (WoodenStick<ee768b20>, 1, 250) at <4137.666992, 348.509583, 14603.924805>
[COT 2021-03-29 22:46:34] 76561198036774377: Spawned Entity Russian learning book (ItemBook<ee76d1c0>, -1, 100) at <4137.666992, 348.514679, 14603.924805>
[COT 2021-03-29 22:46:52] 76561198036774377: Spawned Entity Paper (Paper<fab0b180>, -1, 15) at <4137.666992, 348.515411, 14603.924805>
[COT 2021-03-29 22:47:55] 76561198036774377: Spawned Entity Salmon (SalmonFilletMeat<d452a670>, 250, 50) at <4138.226074, 348.684906, 14605.444336>
[COT 2021-03-29 22:47:55] 76561198036774377: Spawned Entity Salmon (SalmonFilletMeat<ea89ebb0>, 250, 50) at <4138.226074, 348.684906, 14605.444336>
[COT 2021-03-29 22:47:55] 76561198036774377: Spawned Entity Salmon (SalmonFilletMeat<ed7ee6d0>, 250, 50) at <4138.226074, 348.684906, 14605.444336>
[COT 2021-03-29 22:48:09] 76561198036774377: Spawned Entity Salmon (SalmonFilletMeat<f6762e00>, 250, 50) at <4138.226074, 348.684906, 14605.444336>
[COT 2021-03-29 22:48:33] 76561198036774377: Spawned Entity Beef Steak (CowSteakMeat<eb5804e0>, 300, 50) at <4138.226074, 348.684906, 14605.444336>
[COT 2021-03-29 22:48:33] 76561198036774377: Spawned Entity Beef Steak (CowSteakMeat<eb582220>, 300, 50) at <4138.226074, 348.684906, 14605.444336>
[COT 2021-03-29 22:48:33] 76561198036774377: Spawned Entity Beef Steak (CowSteakMeat<eb55e7c0>, 300, 50) at <4138.226074, 348.684906, 14605.444336>
[COT 2021-03-29 22:50:41] 76561198036774377: Spawned Entity Campfire Tripod (Tripod<dd0c34b0>, -1, 100) at <4138.053223, 348.671539, 14605.255859>
[COT 2021-03-29 22:51:01] 76561198036774377: Spawned Entity Dutchoven (Pot<abe7dd30>, 0, 200) at <4138.088379, 348.658997, 14605.241211>
[COT 2021-03-29 22:52:34] 76561198036774377: Spawned Entity Beretta Double Edge Burton (FNX45_Base<5d931390>, -1, 200) at <4141.207520, 349.000763, 14607.798828>
[COT 2021-03-29 22:52:39] 76561198036774377: Spawned Entity BerettaDoubleEdge_mag_15Rnd (Mag_FNX45_15Rnd<e8a298e0>, 1, 200) at <4141.207520, 349.000763, 14607.798828>
[COT 2021-03-29 22:52:39] 76561198036774377: Spawned Entity BerettaDoubleEdge_mag_15Rnd (Mag_FNX45_15Rnd<cd39bbd0>, 1, 200) at <4141.207520, 349.000763, 14607.798828>
[COT 2021-03-29 22:52:40] 76561198036774377: Spawned Entity BerettaDoubleEdge_mag_15Rnd (Mag_FNX45_15Rnd<eb940d30>, 1, 200) at <4141.207520, 349.000763, 14607.798828>
