[COT 2021-02-25 22:26:22] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-25 22:26:22] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-25 22:26:22] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-25 22:26:31] 76561198036774377: Teleported to position <3716.823486, 400.768860, 6018.368164>
[COT 2021-02-25 23:26:24] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-25 23:26:24] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-25 23:26:24] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-25 23:39:14] 76561198036774377: Spawned Entity Large Tent (LargeTent<e2f23670>, -1, 2000) at <3454.297363, 291.960297, 8562.945313>
[COT 2021-02-25 23:39:43] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<7faa0fb0>, -1, 30) at <3451.921387, 292.141449, 8567.633789>
[COT 2021-02-25 23:39:43] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<7faa24e0>, -1, 30) at <3451.921387, 292.141449, 8567.633789>
[COT 2021-02-25 23:39:44] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<7fab1500>, -1, 30) at <3451.921387, 292.141449, 8567.633789>
[COT 2021-02-25 23:39:44] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<7faab930>, -1, 30) at <3451.921387, 292.141449, 8567.633789>
[COT 2021-02-25 23:39:45] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<7fac6800>, -1, 30) at <3451.921387, 292.141449, 8567.633789>
[COT 2021-02-25 23:39:46] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<7fac6f10>, -1, 30) at <3451.921387, 292.141449, 8567.633789>
[COT 2021-02-25 23:39:47] 76561198036774377: Spawned Entity Brick of Stardawg Weed (CP_CannabisBrickStardawg<78624800>, -1, 30) at <3451.921387, 292.141449, 8567.633789>
[COT 2021-02-25 23:39:47] 76561198036774377: Spawned Entity Brick of Stardawg Weed (CP_CannabisBrickStardawg<785e8e90>, -1, 30) at <3451.921387, 292.141449, 8567.633789>
[COT 2021-02-25 23:39:48] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<785ea3c0>, -1, 30) at <3451.921387, 292.141449, 8567.633789>
[COT 2021-02-25 23:39:48] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<785fe190>, -1, 30) at <3451.921387, 292.141449, 8567.633789>
[COT 2021-02-25 23:39:49] 76561198036774377: Spawned Entity Brick of S1 Hemp (CP_CannabisBrickS1<7860ae60>, -1, 30) at <3451.921387, 292.141449, 8567.633789>
[COT 2021-02-25 23:39:50] 76561198036774377: Spawned Entity Brick of S1 Hemp (CP_CannabisBrickS1<79731340>, -1, 30) at <3451.921387, 292.141449, 8567.633789>
[COT 2021-02-25 23:39:51] 76561198036774377: Spawned Entity Brick of Nomad Weed (CP_CannabisBrickNomad<7972c590>, -1, 30) at <3451.921387, 292.141449, 8567.633789>
[COT 2021-02-25 23:39:51] 76561198036774377: Spawned Entity Brick of Nomad Weed (CP_CannabisBrickNomad<7973a080>, -1, 30) at <3451.921387, 292.141449, 8567.633789>
[COT 2021-02-25 23:39:53] 76561198036774377: Spawned Entity Brick of Black Frost Weed (CP_CannabisBrickBlackFrost<796fae90>, -1, 30) at <3451.921387, 292.141449, 8567.633789>
[COT 2021-02-25 23:39:53] 76561198036774377: Spawned Entity Brick of Black Frost Weed (CP_CannabisBrickBlackFrost<796fc3c0>, -1, 30) at <3451.921387, 292.141449, 8567.633789>
[COT 2021-02-25 23:41:20] 76561198036774377: Teleported to position <7679.904297, 45.153679, 3954.321777>
