[COT 2021-01-22 11:24:42] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<4273fe10>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:42] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<42740620>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:42] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<42739d50>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:42] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<42742660>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:43] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<4273cdb0>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:43] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<4273edf0>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:43] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<42742e70>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:44] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<42743680>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:44] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<42743e90>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:44] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<4273c5a0>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:44] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<4273d5c0>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:45] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<4273ddd0>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:45] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<427456c0>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:45] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<427446a0>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
