[COT 2021-03-08 02:24:47] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<3fd1dd30>, 500, 100) at <3697.739502, 402.379578, 5988.607910>
[COT 2021-03-08 02:25:53] 76561198036774377: Deleted Entity CrSk_Land_Rover_Defender_110:041422 at <3701.861084, 402.012390, 5971.148438>
[COT 2021-03-08 02:26:36] 76561198036774377: Spawned Entity SCAR-H (TTC_SCARH_base<6ad90140>, -1, 300) at <3695.071289, 402.378357, 5987.288086>
[COT 2021-03-08 02:27:12] 76561198036774377: Spawned Entity SteyrAug_mag_40Rnd (Mag_STANAG_30Rnd<de1a8790>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:12] 76561198036774377: Spawned Entity SteyrAug_mag_40Rnd (Mag_STANAG_30Rnd<e82aaf60>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:13] 76561198036774377: Spawned Entity SteyrAug_mag_40Rnd (Mag_STANAG_30Rnd<e82a5ef0>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:13] 76561198036774377: Spawned Entity SteyrAug_mag_40Rnd (Mag_STANAG_30Rnd<d2717040>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:13] 76561198036774377: Spawned Entity SteyrAug_mag_40Rnd (Mag_STANAG_30Rnd<f2371a10>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:13] 76561198036774377: Spawned Entity SteyrAug_mag_40Rnd (Mag_STANAG_30Rnd<f2373ea0>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:14] 76561198036774377: Spawned Entity SteyrAug_mag_40Rnd (Mag_STANAG_30Rnd<f8927060>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:14] 76561198036774377: Spawned Entity SteyrAug_mag_40Rnd (Mag_STANAG_30Rnd<cd8fb0e0>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:14] 76561198036774377: Spawned Entity SteyrAug_mag_40Rnd (Mag_STANAG_30Rnd<fb2170d0>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
