[COT 2021-03-05 02:23:17] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-05 02:23:17] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-05 02:23:17] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-05 02:23:21] 76561198036774377: Teleported to position <3309.333984, 252.133560, 12114.132813>
[COT 2021-03-05 04:37:28] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<ffb8e950>, -1, 100) at <3097.946045, 372.792389, 6877.013184>
[COT 2021-03-05 04:39:20] 76561198036774377: Spawned Entity Brown Bear (Animal_UrsusArctos<4743bd50>, -1, 800) at <2933.473877, 369.630127, 6770.649902>
[COT 2021-03-05 04:39:21] 76561198036774377: Spawned Entity Brown Bear (Animal_UrsusArctos<4743c520>, -1, 800) at <2931.206543, 369.644562, 6772.983398>
[COT 2021-03-05 04:42:17] 76561198036774377: Spawned Entity Rooster (Animal_GallusGallusDomesticus<4743ccf0>, -1, 15) at <2978.870605, 369.526306, 6732.830078>
[COT 2021-03-05 04:45:53] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<b4559cd0>, -1, 100) at <3060.439453, 363.996552, 6582.041016>
[COT 2021-03-05 04:45:54] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<b4563600>, -1, 100) at <3060.439453, 363.996552, 6582.041016>
[COT 2021-03-05 04:45:55] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<b4562df0>, -1, 100) at <3061.590820, 363.996552, 6581.793457>
[COT 2021-03-05 04:45:56] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<b4560db0>, -1, 100) at <3061.590820, 363.996552, 6581.793457>
[COT 2021-03-05 04:45:56] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<b4564620>, -1, 100) at <3061.590820, 363.996552, 6581.793457>
[COT 2021-03-05 04:45:56] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<b4557480>, -1, 100) at <3061.590820, 363.996552, 6581.793457>
[COT 2021-03-05 04:45:58] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<b4569ed0>, -1, 100) at <3062.291992, 363.996552, 6582.407227>
[COT 2021-03-05 04:45:58] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<b456b700>, -1, 100) at <3062.291992, 363.996552, 6582.407227>
[COT 2021-03-05 04:45:59] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<b456cf30>, -1, 100) at <3062.291992, 363.996552, 6582.407227>
[COT 2021-03-05 04:45:59] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<b4565640>, -1, 100) at <3062.291992, 363.996552, 6582.407227>
[COT 2021-03-05 04:46:01] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<b4566e70>, -1, 100) at <3062.907227, 363.996552, 6581.728516>
[COT 2021-03-05 04:46:01] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<b4543a10>, -1, 100) at <3062.907227, 363.996552, 6581.728516>
[COT 2021-03-05 04:46:01] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<b45421e0>, -1, 100) at <3062.907227, 363.996552, 6581.728516>
[COT 2021-03-05 04:46:01] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<b4547280>, -1, 100) at <3062.907227, 363.996552, 6581.728516>
[COT 2021-03-05 04:46:01] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<b45429f0>, -1, 100) at <3062.907227, 363.996552, 6581.728516>
[COT 2021-03-05 04:46:01] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<b4547a90>, -1, 100) at <3062.907227, 363.996552, 6581.728516>
[COT 2021-03-05 04:46:29] 76561198036774377: Spawned Entity Rooster (Animal_GallusGallusDomesticus<47437ed0>, -1, 15) at <3019.665283, 377.664398, 6716.306152>
[COT 2021-03-05 04:46:30] 76561198036774377: Spawned Entity Rooster (Animal_GallusGallusDomesticus<4743b580>, -1, 15) at <3019.174072, 377.664398, 6716.730957>
[COT 2021-03-05 04:46:32] 76561198036774377: Spawned Entity Rooster (Animal_GallusGallusDomesticus<4743d4c0>, -1, 15) at <3020.358154, 377.664398, 6716.383301>
[COT 2021-03-05 04:46:33] 76561198036774377: Spawned Entity Rooster (Animal_GallusGallusDomesticus<4743dc90>, -1, 15) at <3019.679932, 377.664398, 6716.845215>
[COT 2021-03-05 04:46:34] 76561198036774377: Spawned Entity Rooster (Animal_GallusGallusDomesticus<4743e460>, -1, 15) at <3018.278809, 377.664398, 6717.445313>
[COT 2021-03-05 04:46:36] 76561198036774377: Spawned Entity Rooster (Animal_GallusGallusDomesticus<47436f30>, -1, 15) at <3017.684326, 377.664398, 6717.717773>
[COT 2021-03-05 04:46:38] 76561198036774377: Spawned Entity Rooster (Animal_GallusGallusDomesticus<47437700>, -1, 15) at <3021.220215, 377.664398, 6715.522461>
[COT 2021-03-05 04:46:39] 76561198036774377: Spawned Entity Rooster (Animal_GallusGallusDomesticus<47446160>, -1, 15) at <3020.931152, 377.664398, 6716.427734>
[COT 2021-03-05 04:46:41] 76561198036774377: Spawned Entity Rooster (Animal_GallusGallusDomesticus<474422e0>, -1, 15) at <3020.120605, 377.664398, 6717.179199>
[COT 2021-03-05 04:46:42] 76561198036774377: Spawned Entity Rooster (Animal_GallusGallusDomesticus<474403a0>, -1, 15) at <3018.891602, 377.664398, 6717.356445>
[COT 2021-03-05 04:46:46] 76561198036774377: Spawned Entity Rooster (Animal_GallusGallusDomesticus<47440b70>, -1, 15) at <3020.314697, 377.664398, 6716.580078>
[COT 2021-03-05 04:46:48] 76561198036774377: Spawned Entity Rooster (Animal_GallusGallusDomesticus<4743f400>, -1, 15) at <3018.785889, 377.664398, 6716.584961>
[COT 2021-03-05 04:46:50] 76561198036774377: Spawned Entity Rooster (Animal_GallusGallusDomesticus<4743fbd0>, -1, 15) at <3021.623779, 377.664398, 6715.634277>
[COT 2021-03-05 04:46:51] 76561198036774377: Spawned Entity Rooster (Animal_GallusGallusDomesticus<47441b10>, -1, 15) at <3021.489258, 377.664398, 6716.462891>
[COT 2021-03-05 04:46:53] 76561198036774377: Spawned Entity Rooster (Animal_GallusGallusDomesticus<47441340>, -1, 15) at <3017.961914, 377.664398, 6717.304199>
[COT 2021-03-05 04:48:49] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<47023790>, -1, 100) at <3045.517822, 362.524414, 6594.764160>
[COT 2021-03-05 04:48:49] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<47023fa0>, -1, 100) at <3045.450928, 362.907410, 6594.457520>
[COT 2021-03-05 04:48:50] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<47021750>, -1, 100) at <3045.384277, 363.290314, 6594.150879>
[COT 2021-03-05 04:48:50] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<47024fc0>, -1, 100) at <3045.317383, 363.673187, 6593.844238>
[COT 2021-03-05 04:48:50] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<47022770>, -1, 100) at <3045.250732, 364.056122, 6593.537598>
[COT 2021-03-05 04:48:52] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<47025fe0>, -1, 100) at <3047.022949, 362.468842, 6593.197266>
[COT 2021-03-05 04:48:52] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<470267f0>, -1, 100) at <3046.870117, 362.913879, 6592.921875>
[COT 2021-03-05 04:48:52] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46fec8c0>, -1, 100) at <3046.717285, 363.358948, 6592.646484>
[COT 2021-03-05 04:48:53] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46ff1150>, -1, 100) at <3046.564453, 363.804047, 6592.371094>
[COT 2021-03-05 04:48:53] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46fee0f0>, -1, 100) at <3046.411621, 364.249115, 6592.095703>
[COT 2021-03-05 04:48:53] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46fee900>, -1, 100) at <3046.258545, 364.694214, 6591.820313>
[COT 2021-03-05 04:48:55] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<47022f80>, -1, 100) at <3040.763916, 362.557404, 6594.529785>
[COT 2021-03-05 04:48:55] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46feb090>, -1, 100) at <3040.763916, 362.557404, 6594.529785>
[COT 2021-03-05 04:48:55] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46fed8e0>, -1, 100) at <3040.763916, 362.557404, 6594.529785>
[COT 2021-03-05 04:48:55] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46fed0d0>, -1, 100) at <3040.763916, 362.557404, 6594.529785>
[COT 2021-03-05 04:48:55] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46fea070>, -1, 100) at <3040.763916, 362.557404, 6594.529785>
[COT 2021-03-05 04:48:56] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46ff0130>, -1, 100) at <3040.763916, 362.557404, 6594.529785>
[COT 2021-03-05 04:48:56] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46fea880>, -1, 100) at <3040.763916, 362.557404, 6594.529785>
[COT 2021-03-05 04:49:31] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<46fec0b0>, -1, 100) at <3024.931152, 366.651581, 6669.990234>
[COT 2021-03-05 04:49:31] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<46ff8230>, -1, 100) at <3024.931152, 366.651581, 6669.990234>
[COT 2021-03-05 04:49:31] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<46ffb290>, -1, 100) at <3024.931152, 366.651581, 6669.990234>
[COT 2021-03-05 04:49:32] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<46ff51d0>, -1, 100) at <3024.931152, 366.651581, 6669.990234>
