[COT 2021-02-28 04:08:23] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:08:23] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:08:23] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:08:27] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:09:50] 76561198036774377: Teleported to position <3700.913818, 399.963501, 6037.182129>
[COT 2021-02-28 04:22:48] 76561198036774377: Spawned Entity Optic_reddot (M68Optic<de751db0>, -1, 50) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:13] 76561198036774377: Spawned Entity SteyrAug (UMP45_Base<fb58d8c0>, -1, 250) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:13] 76561198036774377: Spawned Entity SteyrAug (UMP45_Base<fb5a5a10>, -1, 250) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:13] 76561198036774377: Spawned Entity SteyrAug (UMP45_Base<64354850>, -1, 250) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:13] 76561198036774377: Spawned Entity SteyrAug (UMP45_Base<6436e350>, -1, 250) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:14] 76561198036774377: Spawned Entity SteyrAug (UMP45_Base<64368520>, -1, 250) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:14] 76561198036774377: Spawned Entity SteyrAug (UMP45_Base<643875c0>, -1, 250) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:16] 76561198036774377: Spawned Entity SteyrAug (UMP45_Base<64387e50>, -1, 250) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:16] 76561198036774377: Spawned Entity SteyrAug (UMP45_Base<6438a920>, -1, 250) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:22] 76561198036774377: Spawned Entity SteyrAug_mag_45Rnd (Mag_STANAG_30Rnd<1db53c0>, 1, 100) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:22] 76561198036774377: Spawned Entity SteyrAug_mag_45Rnd (Mag_STANAG_30Rnd<1dca420>, 1, 100) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:23] 76561198036774377: Spawned Entity SteyrAug_mag_45Rnd (Mag_STANAG_30Rnd<1dc7840>, 1, 100) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:23] 76561198036774377: Spawned Entity SteyrAug_mag_45Rnd (Mag_STANAG_30Rnd<1de70d0>, 1, 100) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:23] 76561198036774377: Spawned Entity SteyrAug_mag_45Rnd (Mag_STANAG_30Rnd<1de9cb0>, 1, 100) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:24] 76561198036774377: Spawned Entity SteyrAug_mag_45Rnd (Mag_STANAG_30Rnd<971470>, 1, 100) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:24] 76561198036774377: Spawned Entity SteyrAug_mag_45Rnd (Mag_STANAG_30Rnd<981460>, 1, 100) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:24] 76561198036774377: Spawned Entity SteyrAug_mag_45Rnd (Mag_STANAG_30Rnd<982300>, 1, 100) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:24] 76561198036774377: Spawned Entity SteyrAug_mag_45Rnd (Mag_STANAG_30Rnd<944f20>, 1, 100) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:25] 76561198036774377: Spawned Entity SteyrAug_mag_45Rnd (Mag_STANAG_30Rnd<956c50>, 1, 100) at <3698.307373, 402.381195, 5995.186035>
