[COT 2021-03-22 19:06:10] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-22 19:06:10] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-22 19:06:10] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-22 19:06:34] 76561198036774377: Teleported to position <310.727905, 98.299095, 3000.695801>
[COT 2021-03-22 19:09:00] 76561198036774377: Spawned Entity Charcoal Tablets (CharcoalTablets<505cef00>, 12, 30) at <310.834381, 99.200020, 3007.005127>
[COT 2021-03-22 19:09:05] 76561198036774377: Spawned Entity Morphine Auto-Injector (Morphine<6a482e40>, -1, 50) at <310.834381, 99.200020, 3007.005127>
[COT 2021-03-22 19:09:05] 76561198036774377: Spawned Entity Morphine Auto-Injector (Morphine<6a48ad60>, -1, 50) at <310.834381, 99.200020, 3007.005127>
[COT 2021-03-22 19:09:06] 76561198036774377: Spawned Entity Morphine Auto-Injector (Morphine<438654b0>, -1, 50) at <310.834381, 99.200020, 3007.005127>
[COT 2021-03-22 19:09:06] 76561198036774377: Spawned Entity Morphine Auto-Injector (Morphine<4d2bec90>, -1, 50) at <310.834381, 99.200020, 3007.005127>
[COT 2021-03-22 19:09:06] 76561198036774377: Spawned Entity Morphine Auto-Injector (Morphine<4fdc4d30>, -1, 50) at <310.834381, 99.200020, 3007.005127>
[COT 2021-03-22 19:09:12] 76561198036774377: Spawned Entity Epinephrine Auto-Injector (Epinephrine<71bfc8a0>, -1, 50) at <310.834381, 99.200020, 3007.005127>
[COT 2021-03-22 19:09:12] 76561198036774377: Spawned Entity Epinephrine Auto-Injector (Epinephrine<4a8688e0>, -1, 50) at <310.834381, 99.200020, 3007.005127>
[COT 2021-03-22 19:09:12] 76561198036774377: Spawned Entity Epinephrine Auto-Injector (Epinephrine<55ce3340>, -1, 50) at <310.834381, 99.200020, 3007.005127>
[COT 2021-03-22 19:09:12] 76561198036774377: Spawned Entity Epinephrine Auto-Injector (Epinephrine<6b698410>, -1, 50) at <310.834381, 99.200020, 3007.005127>
[COT 2021-03-22 19:09:12] 76561198036774377: Spawned Entity Epinephrine Auto-Injector (Epinephrine<744cd860>, -1, 50) at <310.834381, 99.200020, 3007.005127>
[COT 2021-03-22 19:10:10] 76561198036774377: Spawned Entity Blood Collection Kit (BloodBagEmpty<a420c890>, -1, 20) at <310.834381, 99.200363, 3007.005127>
[COT 2021-03-22 19:10:10] 76561198036774377: Spawned Entity Blood Collection Kit (BloodBagEmpty<a420e4d0>, -1, 20) at <310.834381, 99.200363, 3007.005127>
[COT 2021-03-22 19:10:10] 76561198036774377: Spawned Entity Blood Collection Kit (BloodBagEmpty<77c89a50>, -1, 20) at <310.834381, 99.200363, 3007.005127>
[COT 2021-03-22 19:10:10] 76561198036774377: Spawned Entity Blood Collection Kit (BloodBagEmpty<76827f90>, -1, 20) at <310.834381, 99.200363, 3007.005127>
[COT 2021-03-22 19:10:11] 76561198036774377: Spawned Entity Blood Collection Kit (BloodBagEmpty<68707200>, -1, 20) at <310.834381, 99.200363, 3007.005127>
[COT 2021-03-22 19:10:36] 76561198036774377: Entered the Free Camera
