[COT 2021-03-20 16:09:26] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 16:09:26] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 16:09:26] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 18:41:58] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<323e69b0>, -1, 100) at <10675.620117, 68.168694, 14487.747070>
[COT 2021-03-20 18:41:58] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<323e5180>, -1, 100) at <10675.620117, 68.168694, 14487.747070>
[COT 2021-03-20 18:41:58] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<323e1910>, -1, 100) at <10675.620117, 68.168694, 14487.747070>
[COT 2021-03-20 18:41:58] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<323e61a0>, -1, 100) at <10675.620117, 68.168694, 14487.747070>
[COT 2021-03-20 18:41:58] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<323e71c0>, -1, 100) at <10675.620117, 68.168694, 14487.747070>
[COT 2021-03-20 18:41:58] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<323e79d0>, -1, 100) at <10675.620117, 68.168694, 14487.747070>
[COT 2021-03-20 18:41:58] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<323e2120>, -1, 100) at <10675.620117, 68.168694, 14487.747070>
[COT 2021-03-20 18:41:59] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<323e5990>, -1, 100) at <10675.620117, 68.168694, 14487.747070>
[COT 2021-03-20 18:43:23] 76561198036774377: Spawned Entity Flare (AirdropFlare<6c560b60>, 20, 100) at <10673.149414, 82.837311, 14464.793945>
[COT 2021-03-20 18:43:23] 76561198036774377: Spawned Entity Flare (AirdropFlare<6c55a910>, 20, 100) at <10673.149414, 82.837311, 14464.793945>
[COT 2021-03-20 18:43:23] 76561198036774377: Spawned Entity Flare (AirdropFlare<6c5599f0>, 20, 100) at <10673.149414, 82.837311, 14464.793945>
[COT 2021-03-20 18:43:24] 76561198036774377: Spawned Entity Flare (AirdropFlare<6c534480>, 20, 100) at <10673.149414, 82.837311, 14464.793945>
[COT 2021-03-20 18:43:24] 76561198036774377: Spawned Entity Flare (AirdropFlare<6c538890>, 20, 100) at <10673.149414, 82.837311, 14464.793945>
[COT 2021-03-20 18:43:24] 76561198036774377: Spawned Entity Flare (AirdropFlare<6c534c10>, 20, 100) at <10673.149414, 82.837311, 14464.793945>
[COT 2021-03-20 18:45:02] 76561198036774377: Spawned Entity TWP_M60_mag_200Rnd (Mag_AKM_Drum75Rnd<5838bbd0>, 1, 100) at <10688.614258, 82.796104, 14468.258789>
[COT 2021-03-20 18:45:03] 76561198036774377: Spawned Entity TWP_M60_mag_200Rnd (Mag_AKM_Drum75Rnd<583904f0>, 1, 100) at <10688.940430, 82.796104, 14468.540039>
[COT 2021-03-20 18:45:17] 76561198036774377: Spawned Entity M60 (AKM_Base<2c2202e0>, -1, 300) at <10688.932617, 82.807716, 14468.536133>
[COT 2021-03-20 18:45:51] 76561198036774377: Spawned Entity FG42 (AKM_Base<677a1150>, -1, 300) at <10687.776367, 82.796104, 14469.074219>
[COT 2021-03-20 18:45:54] 76561198036774377: Spawned Entity FG42 (AKM_Base<677a91c0>, -1, 300) at <10687.790039, 82.796104, 14469.353516>
[COT 2021-03-20 18:46:07] 76561198036774377: Spawned Entity FG42_mag_25Rnd (Mag_FAL_20Rnd<68d9d1b0>, 1, 100) at <10687.850586, 82.796104, 14469.137695>
[COT 2021-03-20 18:46:07] 76561198036774377: Spawned Entity FG42_mag_25Rnd (Mag_FAL_20Rnd<68d9e050>, 1, 100) at <10687.846680, 82.811630, 14469.128906>
[COT 2021-03-20 18:46:08] 76561198036774377: Spawned Entity FG42_mag_25Rnd (Mag_FAL_20Rnd<68d9b470>, 1, 100) at <10687.724609, 82.796104, 14469.476563>
[COT 2021-03-20 18:46:08] 76561198036774377: Spawned Entity FG42_mag_25Rnd (Mag_FAL_20Rnd<68d9e7a0>, 1, 100) at <10687.721680, 82.808800, 14469.466797>
[COT 2021-03-20 18:46:10] 76561198036774377: Spawned Entity FG42_mag_25Rnd (Mag_FAL_20Rnd<68da3810>, 1, 100) at <10687.570313, 82.796104, 14469.117188>
[COT 2021-03-20 18:46:10] 76561198036774377: Spawned Entity FG42_mag_25Rnd (Mag_FAL_20Rnd<68da2970>, 1, 100) at <10687.567383, 82.811630, 14469.107422>
[COT 2021-03-20 18:46:12] 76561198036774377: Spawned Entity FG42_mag_25Rnd (Mag_FAL_20Rnd<68da79e0>, 1, 100) at <10687.717773, 82.796104, 14468.783203>
[COT 2021-03-20 18:46:12] 76561198036774377: Spawned Entity FG42_mag_25Rnd (Mag_FAL_20Rnd<68da5ca0>, 1, 100) at <10687.714844, 82.811630, 14468.776367>
[COT 2021-03-20 18:48:01] 76561198036774377: Spawned Entity Brown Bear (Animal_UrsusArctos<1f9f3ea0>, -1, 800) at <10763.353516, 69.233017, 14528.782227>
[COT 2021-03-20 18:48:02] 76561198036774377: Spawned Entity Brown Bear (Animal_UrsusArctos<1f9f5de0>, -1, 800) at <10765.383789, 69.369766, 14530.004883>
[COT 2021-03-20 18:48:04] 76561198036774377: Spawned Entity Brown Bear (Animal_UrsusArctos<1f9f4670>, -1, 800) at <10766.855469, 69.642281, 14531.411133>
