[COT 2021-03-06 07:01:01] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:01:01] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:01:01] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:01:30] 76561198036774377: Teleported to position <3724.211182, 401.469482, 6011.561523>
[COT 2021-03-06 07:31:34] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<fdf66440>, 10, 100) at <3696.558350, 402.378845, 5987.234375>
[COT 2021-03-06 07:32:54] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<e671970>, 500, 100) at <3701.540771, 402.380798, 5988.397461>
[COT 2021-03-06 07:32:54] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<e636e20>, 500, 100) at <3701.540771, 402.380798, 5988.397461>
[COT 2021-03-06 07:36:05] 76561198036774377: Spawned Entity SCAR-H (TTC_SCARH_base<9f5280>, -1, 300) at <3702.649170, 402.381622, 5990.382813>
[COT 2021-03-06 07:38:44] 76561198036774377: Spawned Entity MK216 MOD 1-M (TTC_M4DMR_Base<73c2d80>, -1, 300) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:38:55] 76561198036774377: Spawned Entity DMR Atlas Bipod (TTC_DMR_Bipod<2dc6b50>, -1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:38:59] 76561198036774377: Spawned Entity DMR AFG (TTC_DMR_AFG<7bde120>, -1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:05] 76561198036774377: Spawned Entity Magpul PRS Buttstock (TTC_Buttstock<26a5510>, -1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:24] 76561198036774377: Spawned Entity ScarH_mag_30Rnd (Mag_FAL_20Rnd<29b5cb0>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:24] 76561198036774377: Spawned Entity ScarH_mag_30Rnd (Mag_FAL_20Rnd<29b2230>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:24] 76561198036774377: Spawned Entity ScarH_mag_30Rnd (Mag_FAL_20Rnd<29913b0>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:24] 76561198036774377: Spawned Entity ScarH_mag_30Rnd (Mag_FAL_20Rnd<f2e675e0>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:25] 76561198036774377: Spawned Entity ScarH_mag_30Rnd (Mag_FAL_20Rnd<f2e64a00>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:25] 76561198036774377: Spawned Entity ScarH_mag_30Rnd (Mag_FAL_20Rnd<f2e72cb0>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:26] 76561198036774377: Spawned Entity ScarH_mag_30Rnd (Mag_FAL_20Rnd<ef1129b0>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:26] 76561198036774377: Spawned Entity ScarH_mag_30Rnd (Mag_FAL_20Rnd<ef10d940>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:26] 76561198036774377: Spawned Entity ScarH_mag_30Rnd (Mag_FAL_20Rnd<2bc1460>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:26] 76561198036774377: Spawned Entity ScarH_mag_30Rnd (Mag_FAL_20Rnd<e4d07070>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:27] 76561198036774377: Spawned Entity ScarH_mag_30Rnd (Mag_FAL_20Rnd<5940a50>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:27] 76561198036774377: Spawned Entity ScarH_mag_30Rnd (Mag_FAL_20Rnd<3bf70d0>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:38] 76561198036774377: Spawned Entity SCAR-H Magazine (TTC_SCARHMag<25c1ea0>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:38] 76561198036774377: Spawned Entity SCAR-H Magazine (TTC_SCARHMag<3969670>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:38] 76561198036774377: Spawned Entity SCAR-H Magazine (TTC_SCARHMag<4db09c90>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:39] 76561198036774377: Spawned Entity SCAR-H Magazine (TTC_SCARHMag<f4408fe0>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:39] 76561198036774377: Spawned Entity SCAR-H Magazine (TTC_SCARHMag<ce2bda0>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:39] 76561198036774377: Spawned Entity SCAR-H Magazine (TTC_SCARHMag<ce391b0>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:40] 76561198036774377: Spawned Entity SCAR-H Magazine (TTC_SCARHMag<d9cf560>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:40] 76561198036774377: Spawned Entity SCAR-H Magazine (TTC_SCARHMag<a15bd90>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:40] 76561198036774377: Spawned Entity SCAR-H Magazine (TTC_SCARHMag<a143a00>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:40] 76561198036774377: Spawned Entity SCAR-H Magazine (TTC_SCARHMag<a156d20>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
