[COT 2021-03-21 19:20:59] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<67a2a8c0>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:20:59] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<67a28430>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:20:59] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<67a35840>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:20:59] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<d4eafda0>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:20:59] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<d4ebb470>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:20:59] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<e0d19f00>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:20:59] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<e0d329e0>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:21:00] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<f5bf92d0>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:21:00] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<f5c01670>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:21:00] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<d7fb7a00>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:21:00] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<c2c4bbc0>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:21:00] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<ead94910>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:21:00] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<eaf697c0>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:21:01] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<eaf75d30>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:21:01] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<eaf8e0c0>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:21:01] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<eaf913f0>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:21:01] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<cb665470>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:21:01] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<cbef5450>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:21:02] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<d41ad9b0>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:21:02] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<e5bc5410>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:21:02] 76561198036774377: Spawned Entity Human Steak (HumanSteakMeat<e773e230>, 150, 50) at <645.798279, 134.408310, 5917.762695>
[COT 2021-03-21 19:21:46] 76561198036774377: Spawned Entity Ketchup (WaterBottle<d0ed8880>, 1000, 50) at <645.798279, 134.407349, 5917.762695>
[COT 2021-03-21 19:21:52] 76561198036774377: Spawned Entity Jest's Wonderbread (wonderbread_mung<ec78ea50>, 120, 100) at <645.798279, 134.407349, 5917.762695>
[COT 2021-03-21 19:21:57] 76561198036774377: Spawned Entity Jalapeno Cheddar Cheese (PeachesCan_Opened<f580fd90>, 100, 100) at <645.798279, 134.407349, 5917.762695>
[COT 2021-03-21 19:22:12] 76561198036774377: Spawned Entity Tobasco Sauce (PeachesCan_Opened<e58fae90>, 100, 100) at <645.798279, 134.407349, 5917.762695>
[COT 2021-03-21 19:22:12] 76561198036774377: Spawned Entity Tobasco Sauce (PeachesCan_Opened<ee394320>, 100, 100) at <645.798279, 134.407349, 5917.762695>
[COT 2021-03-21 19:22:18] 76561198036774377: Spawned Entity Pipsi Cola (SodaCan_ColorBase<e5be7880>, 330, 30) at <645.798279, 134.407349, 5917.762695>
[COT 2021-03-21 19:22:18] 76561198036774377: Spawned Entity Pipsi Cola (SodaCan_ColorBase<ce29a5a0>, 330, 30) at <645.798279, 134.407349, 5917.762695>
[COT 2021-03-21 19:22:18] 76561198036774377: Spawned Entity Pipsi Cola (SodaCan_ColorBase<cb65e6c0>, 330, 30) at <645.798279, 134.407349, 5917.762695>
[COT 2021-03-21 19:22:18] 76561198036774377: Spawned Entity Pipsi Cola (SodaCan_ColorBase<cb6471d0>, 330, 30) at <645.798279, 134.407349, 5917.762695>
[COT 2021-03-21 19:22:18] 76561198036774377: Spawned Entity Pipsi Cola (SodaCan_ColorBase<cc3f0e00>, 330, 30) at <645.798279, 134.407349, 5917.762695>
[COT 2021-03-21 19:22:55] 76561198036774377: Entered the Free Camera
[COT 2021-03-21 19:23:31] 76561198036774377: Teleported to position <12355.283203, 52.671337, 5309.632813>
[COT 2021-03-21 19:23:34] 76561198036774377: Left the Free Camera
[COT 2021-03-21 19:24:30] 76561198036774377: Spawned Entity Medium Tent (MediumTent_Orange<d0ed4c00>, -1, 600) at <12385.699219, 50.145981, 5324.327148>
[COT 2021-03-21 19:24:42] 76561198036774377: Bleeding stopped [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-21 19:24:43] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-21 19:25:41] 76561198036774377: Spawned Entity Boxed .308 WIN Tracer Rounds (Box_Base<f5be2f10>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:41] 76561198036774377: Spawned Entity Boxed .308 WIN Tracer Rounds (Box_Base<e552fdb0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:41] 76561198036774377: Spawned Entity Boxed .308 WIN Tracer Rounds (Box_Base<bfe5c450>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:42] 76561198036774377: Spawned Entity Boxed .308 WIN Tracer Rounds (Box_Base<bfe282f0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:42] 76561198036774377: Spawned Entity Boxed .308 WIN Tracer Rounds (Box_Base<cea82a70>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:42] 76561198036774377: Spawned Entity Boxed .308 WIN Tracer Rounds (Box_Base<edefae00>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:42] 76561198036774377: Spawned Entity Boxed .308 WIN Tracer Rounds (Box_Base<e91153b0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:42] 76561198036774377: Spawned Entity Boxed .308 WIN Tracer Rounds (Box_Base<eadd6cf0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:43] 76561198036774377: Spawned Entity Boxed .308 WIN Tracer Rounds (Box_Base<ec513b40>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:43] 76561198036774377: Spawned Entity Boxed .308 WIN Tracer Rounds (Box_Base<ec5117f0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:47] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<eeccc570>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:47] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<5dacd590>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:47] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<e2904f30>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:47] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<e2920c20>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:47] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<e800fc90>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:48] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<e7ff54d0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:48] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<d1695ee0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:48] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<d168ede0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:48] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<f5f783c0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:49] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<f39496c0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:55] 76561198036774377: Spawned Entity AmmoBox_300WinMag_20Rnd (TWP_AmmoBox_300WinMag_20Rnd<ecebb380>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:55] 76561198036774377: Spawned Entity AmmoBox_300WinMag_20Rnd (TWP_AmmoBox_300WinMag_20Rnd<f5fa7e80>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:55] 76561198036774377: Spawned Entity AmmoBox_300WinMag_20Rnd (TWP_AmmoBox_300WinMag_20Rnd<f5fb4440>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:56] 76561198036774377: Spawned Entity AmmoBox_300WinMag_20Rnd (TWP_AmmoBox_300WinMag_20Rnd<d1ca1590>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
