[COT 2021-04-11 02:53:15] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 02:53:15] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 02:53:15] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 02:53:30] 76561198036774377: Teleported to position <12101.432617, 136.344116, 12370.115234>
[COT 2021-04-11 02:53:34] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 02:55:29] 76561198036774377: Teleported to position <5027.248047, 323.636658, 10578.878906>
[COT 2021-04-11 02:55:33] 76561198036774377: Left the Free Camera
[COT 2021-04-11 02:55:38] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 02:58:17] 76561198036774377: Teleported to position <2729.117920, 209.693573, 5462.570801>
[COT 2021-04-11 02:58:21] 76561198036774377: Left the Free Camera
[COT 2021-04-11 02:58:33] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 02:59:05] 76561198036774377: Teleported to position <3747.796387, 403.124939, 5976.557129>
[COT 2021-04-11 02:59:08] 76561198036774377: Left the Free Camera
[COT 2021-04-11 03:01:45] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 03:01:48] 76561198036774377: Left the Free Camera
[COT 2021-04-11 03:12:08] 76561198036774377: Teleported to position <5388.281738, 309.796509, 5713.710938>
[COT 2021-04-11 03:17:12] 76561198036774377: Spawned Entity G36_mag_30Rnd (Mag_STANAG_30Rnd<eb06bd90>, 1, 100) at <2031.574585, 257.027802, 7313.569824>
[COT 2021-04-11 03:17:12] 76561198036774377: Spawned Entity G36_mag_30Rnd (Mag_STANAG_30Rnd<eb06e220>, 1, 100) at <2031.574585, 257.027802, 7313.569824>
[COT 2021-04-11 03:17:22] 76561198036774377: Spawned Entity G36 (AKM_Base<e708b620>, -1, 200) at <2031.574585, 257.027802, 7313.569824>
[COT 2021-04-11 03:17:22] 76561198036774377: Spawned Entity G36 (AKM_Base<e708c740>, -1, 200) at <2031.574585, 257.027802, 7313.569824>
[COT 2021-04-11 03:17:24] 76561198036774377: Spawned Entity G36c (AKM_Base<e708e0f0>, -1, 200) at <2031.574585, 257.027802, 7313.569824>
[COT 2021-04-11 03:17:24] 76561198036774377: Spawned Entity G36c (AKM_Base<e70871a0>, -1, 200) at <2031.574585, 257.027802, 7313.569824>
[COT 2021-04-11 03:17:25] 76561198036774377: Spawned Entity G36x (AKM_Base<e70882c0>, -1, 200) at <2031.574585, 257.027802, 7313.569824>
[COT 2021-04-11 03:17:25] 76561198036774377: Spawned Entity G36x (AKM_Base<e7093690>, -1, 200) at <2031.574585, 257.027802, 7313.569824>
[COT 2021-04-11 03:19:10] 76561198036774377: Spawned Entity Barrel (Barrel_Red<e9ba1670>, 0, 1300) at <2030.660278, 257.031830, 7312.679199>
[COT 2021-04-11 03:19:36] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<f1c53b30>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:36] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<f1c3da10>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:37] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<e4e82290>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:38] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<e4e8cc10>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:38] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<5cc002e0>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:38] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<5cc02d40>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:39] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<5cc03450>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:39] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<5cc057a0>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:39] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<e9bfeb80>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
