[COT 2021-04-17 14:08:41] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:41] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:41] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:48] 76561198036774377: Teleported to position <474.881287, 421.872620, 11194.063477>
[COT 2021-04-17 14:08:52] 76561198036774377: Entered the Free Camera
[COT 2021-04-17 14:10:55] 76561198036774377: Spawned Entity MVS Altyn Visor - Black (MVS_Altyn_Visor<7b283580>, -1, 100) at <449.483948, 422.849091, 11171.375000>
[COT 2021-04-17 14:10:55] 76561198036774377: Spawned Entity MVS Altyn Visor - Black (MVS_Altyn_Visor<7b28aa80>, -1, 100) at <449.483948, 422.849091, 11171.375000>
[COT 2021-04-17 14:10:55] 76561198036774377: Spawned Entity MVS Altyn Visor - Black (MVS_Altyn_Visor<7b283cd0>, -1, 100) at <449.483948, 422.849091, 11171.375000>
[COT 2021-04-17 14:10:55] 76561198036774377: Spawned Entity MVS Altyn Visor - Black (MVS_Altyn_Visor<7b28b1d0>, -1, 100) at <449.483948, 422.849091, 11171.375000>
[COT 2021-04-17 14:10:55] 76561198036774377: Spawned Entity MVS Altyn Visor - Black (MVS_Altyn_Visor<7b285a10>, -1, 100) at <449.483948, 422.849091, 11171.375000>
[COT 2021-04-17 14:10:56] 76561198036774377: Spawned Entity MVS Altyn Visor - Black (MVS_Altyn_Visor<7b284420>, -1, 100) at <449.483948, 422.849091, 11171.375000>
[COT 2021-04-17 14:11:11] 76561198036774377: Spawned Entity Benelli Supernova (Mp133Shotgun_Base<40187470>, -1, 250) at <445.564209, 422.849091, 11168.172852>
[COT 2021-04-17 14:11:12] 76561198036774377: Spawned Entity Benelli Supernova (Mp133Shotgun_Base<40187c80>, -1, 250) at <445.569366, 422.852417, 11168.176758>
[COT 2021-04-17 14:11:12] 76561198036774377: Spawned Entity Benelli Supernova (Mp133Shotgun_Base<4018a4d0>, -1, 250) at <445.587799, 422.868652, 11168.194336>
[COT 2021-04-17 14:11:12] 76561198036774377: Spawned Entity Benelli Supernova (Mp133Shotgun_Base<40188490>, -1, 250) at <445.608673, 422.886139, 11168.213867>
[COT 2021-04-17 14:11:12] 76561198036774377: Spawned Entity Benelli Supernova (Mp133Shotgun_Base<401894b0>, -1, 250) at <445.615784, 422.892120, 11168.219727>
[COT 2021-04-17 14:11:12] 76561198036774377: Spawned Entity Benelli Supernova (Mp133Shotgun_Base<4018bd00>, -1, 250) at <445.636353, 422.909607, 11168.238281>
