[COT 2021-01-20 08:33:16] 76561198036774377: Spawned Entity NBC Black Shoes (NBCBootsBase<2ecd16a0>, -1, 70) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:33:18] 76561198036774377: Spawned Entity NBC Black Gloves (NBCGloves_ColorBase<2ecd6b60>, -1, 30) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:33:25] 76561198036774377: Spawned Entity NBC Yellow Hood (Clothing<2ecafde0>, -1, 100) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:34:06] 76561198036774377: Spawned Entity M50 Respirator - Black (GP5GasMask<380f1bd0>, -1, 100) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:34:41] 76561198036774377: Spawned Entity MOLLE US Assault Pack (MountainBag_ColorBase<35a79420>, -1, 100) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:37:19] 76561198036774377: Spawned Entity MVS Canteen - Multicam Black (Canteen<39edba90>, 1000, 100) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:37:34] 76561198036774377: Spawned Entity MVS Chestrig - Multicam Tropic (ModularChestRig_Base<38120f80>, -1, 30) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:37:58] 76561198036774377: Spawned Entity Identifier Patch - Umbrella (Clothing<392aafc0>, -1, 100) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:37:59] 76561198036774377: Spawned Entity Identifier Patch - Umbrella (Clothing<39a21540>, -1, 100) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:38:43] 76561198036774377: Spawned Entity MVS Combat Helmet - Multicam Tropic (Mich2001Helmet<3c0bd940>, -1, 50) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:40:07] 76561198036774377: Spawned Entity AAC Honey Badger Buttstock (TTC_Buttstock_Honey<324036d0>, -1, 200) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:40:09] 76561198036774377: Spawned Entity Honey Badger Suppressor (TTC_Honey_Suppressor<323ff740>, -1, 100) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:40:12] 76561198036774377: Spawned Entity AAC Honey Badger (TTC_AACHoney_Base<9e1d50d0>, -1, 200) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:40:23] 76561198036774377: Spawned Entity ATOG Scope (ACOGOptic<39eecad0>, -1, 50) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:40:55] 76561198036774377: Spawned Entity 5.56 DMR 100 round Stanag (TTC_DMR_556Stanag_100rnd<3aa1e6d0>, 1, 100) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:42:03] 76561198036774377: Spawned Entity 9V Battery (Battery9V<39630750>, 50, 20) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:42:03] 76561198036774377: Spawned Entity 9V Battery (Battery9V<39635c10>, 50, 20) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:42:04] 76561198036774377: Spawned Entity 9V Battery (Battery9V<39636a30>, 50, 20) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:42:06] 76561198036774377: Spawned Entity Combat Knife (CombatKnife<3b2c6980>, -1, 150) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:42:17] 76561198036774377: Spawned Entity Night Vision Goggles (NVGoggles<2f8212d0>, -1, 100) at <3693.944092, 402.074097, 5998.824219>
[COT 2021-01-20 08:43:54] 76561198036774377: Spawned Entity Zippo lighter (Zippo_new<3b14d0e0>, 80, 100) at <3693.930176, 402.074097, 5999.347656>
[COT 2021-01-20 08:44:05] 76561198036774377: Spawned Entity Boxed 5.56x45mm Rounds (AmmoBox_556x45_20Rnd<3684df90>, -1, 100) at <3693.930176, 402.074097, 5999.347656>
[COT 2021-01-20 08:44:06] 76561198036774377: Spawned Entity Boxed 5.56x45mm Rounds (AmmoBox_556x45_20Rnd<3684e6a0>, -1, 100) at <3693.930176, 402.074097, 5999.347656>
[COT 2021-01-20 08:44:07] 76561198036774377: Spawned Entity Boxed 5.56x45mm Rounds (AmmoBox_556x45_20Rnd<3684fbd0>, -1, 100) at <3693.930176, 402.074097, 5999.347656>
[COT 2021-01-20 08:44:22] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<3b158060>, 12, 30) at <3693.930176, 402.074097, 5999.347656>
[COT 2021-01-20 08:44:46] 76561198036774377: Spawned Entity Chlorine Tablets (PurificationTablets<364e6380>, 10, 30) at <3693.930176, 402.074097, 5999.347656>
[COT 2021-01-20 08:46:03] 76561198036774377: Spawned Entity Canned Bacon (TacticalBaconCan_Opened<3ca26c50>, 255, 100) at <3693.930176, 402.074097, 5999.347656>
[COT 2021-01-20 08:46:24] 76561198036774377: Spawned Entity Multivitamin Pills (VitaminBottle<32452220>, 50, 50) at <3693.930176, 402.074097, 5999.347656>
[COT 2021-01-20 08:46:31] 76561198036774377: Spawned Entity Charcoal Tablets (CharcoalTablets<32459720>, 12, 30) at <3693.930176, 402.074097, 5999.347656>
[COT 2021-01-20 08:47:18] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<3c0adb00>, -1, 30) at <3693.930176, 402.074097, 5999.347656>
[COT 2021-01-20 08:47:20] 76561198036774377: Spawned Entity Bag of Skunk Weed (CP_CannabisBagSkunk<3da497e0>, 1, 30) at <3693.930176, 402.074097, 5999.347656>
[COT 2021-01-20 08:48:35] 76561198036774377: Spawned Entity Assault Boots (MilitaryBoots_Redpunk<3c563e50>, -1, 100) at <3696.933105, 402.012390, 5986.464844>
[COT 2021-01-20 08:48:43] 76561198036774377: Spawned Entity Classic Glasses (ThickFramesGlasses<3dfbe190>, -1, 50) at <3696.933105, 402.012390, 5986.464844>
[COT 2021-01-20 08:49:09] 76561198036774377: Spawned Entity Tactical Gloves (TacticalGloves_Black<3a91d030>, -1, 100) at <3696.933105, 402.012390, 5986.464844>
[COT 2021-01-20 08:49:16] 76561198036774377: Spawned Entity joint (joint_mung<b233f2f0>, 100, 100) at <3696.933105, 402.012390, 5986.464844>
[COT 2021-01-20 08:57:21] 76561198036774377: Teleported to position <6541.191406, 335.283020, 9296.183594>
