[COT 2021-02-24 03:27:07] 76561198036774377: Spawned Entity Spark Plug (SparkPlug<5b6e9710>, -1, 20) at <3720.370361, 402.238800, 5978.352051>
[COT 2021-02-24 03:27:07] 76561198036774377: Spawned Entity Spark Plug (SparkPlug<5b6f2450>, -1, 20) at <3720.370361, 402.238800, 5978.352051>
[COT 2021-02-24 03:27:07] 76561198036774377: Spawned Entity Spark Plug (SparkPlug<5b6eb350>, -1, 20) at <3720.370361, 402.238800, 5978.352051>
[COT 2021-02-24 03:27:16] 76561198036774377: Spawned Entity Headlight Bulb (HeadlightH7<5b6f9550>, -1, 10) at <3720.370361, 402.238800, 5978.352051>
[COT 2021-02-24 03:27:16] 76561198036774377: Spawned Entity Headlight Bulb (HeadlightH7<5b6fa370>, -1, 10) at <3720.370361, 402.238800, 5978.352051>
[COT 2021-02-24 03:27:16] 76561198036774377: Spawned Entity Headlight Bulb (HeadlightH7<5b6faa80>, -1, 10) at <3720.370361, 402.238800, 5978.352051>
[COT 2021-02-24 03:27:17] 76561198036774377: Spawned Entity Headlight Bulb (HeadlightH7<5b6fb190>, -1, 10) at <3720.370361, 402.238800, 5978.352051>
[COT 2021-02-24 03:28:17] 76561198036774377: Spawned Entity Sea Chest (SeaChest<f48e1a10>, -1, 600) at <3722.296875, 402.012451, 5976.428223>
[COT 2021-02-24 03:28:17] 76561198036774377: Spawned Entity Sea Chest (SeaChest<f48eac50>, -1, 600) at <3722.296875, 402.012451, 5976.428223>
[COT 2021-02-24 03:28:25] 76561198036774377: Spawned Entity Barrel (Barrel_Yellow<f8cb6e80>, 0, 1300) at <3722.296875, 402.012451, 5976.428223>
[COT 2021-02-24 03:28:25] 76561198036774377: Spawned Entity Barrel (Barrel_Yellow<f820e6b0>, 0, 1300) at <3722.296875, 402.012451, 5976.428223>
[COT 2021-02-24 03:28:27] 76561198036774377: Spawned Entity Barrel (Barrel_Red<114fae0>, 0, 1300) at <3722.296875, 402.012451, 5976.428223>
[COT 2021-02-24 03:28:27] 76561198036774377: Spawned Entity Barrel (Barrel_Red<5f555370>, 0, 1300) at <3722.296875, 402.012451, 5976.428223>
[COT 2021-02-24 03:30:58] 76561198036774377: Spawned Entity Car Battery (CarBattery<5b722d30>, 50, 200) at <3721.484619, 402.012451, 5976.821289>
[COT 2021-02-24 03:30:58] 76561198036774377: Spawned Entity Car Battery (CarBattery<5b724260>, 50, 200) at <3721.484619, 402.012451, 5976.821289>
[COT 2021-02-24 03:38:19] 76561198036774377: Spawned Entity Flag Pole Kit (TerritoryFlagKit<4c547400>, -1, 200) at <3005.222900, 369.575958, 6730.030273>
[COT 2021-02-24 03:38:26] 76561198036774377: Spawned Entity Wooden log (WoodenLog<5ef07850>, 1, 500) at <3005.222900, 369.575958, 6730.030273>
[COT 2021-02-24 03:38:33] 76561198036774377: Spawned Entity Sledgehammer (SledgeHammer<5ef02390>, -1, 300) at <3005.222900, 369.575958, 6730.030273>
[COT 2021-02-24 03:41:00] 76561198036774377: Spawned Entity Wooden log (WoodenLog<631e0670>, 1, 500) at <3004.457764, 369.582184, 6731.083496>
[COT 2021-02-24 03:41:00] 76561198036774377: Spawned Entity Wooden log (WoodenLog<631dea30>, 1, 500) at <3004.457764, 369.582184, 6731.083496>
