[COT 2021-03-06 04:32:53] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:32:53] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:32:53] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:33:59] 76561198036774377: Teleported to position <2547.349121, 191.654495, 5148.984375>
[COT 2021-03-06 04:34:05] 76561198036774377: Entered the Free Camera
[COT 2021-03-06 04:35:05] 76561198036774377: Left the Free Camera
[COT 2021-03-06 04:40:13] 76561198036774377: Spawned Entity 5.56 DMR 100 round Pmag (TTC_DMR_556Pmag_100rnd<f385f960>, 1, 100) at <2731.067139, 218.290100, 5373.907715>
[COT 2021-03-06 04:40:13] 76561198036774377: Spawned Entity 5.56 DMR 100 round Pmag (TTC_DMR_556Pmag_100rnd<f8054d90>, 1, 100) at <2731.067139, 218.290100, 5373.907715>
[COT 2021-03-06 04:41:15] 76561198036774377: Spawned Entity Signal Pistol (Flaregun<c6dd150>, -1, 150) at <2726.406006, 218.290039, 5374.158203>
[COT 2021-03-06 04:41:17] 76561198036774377: Spawned Entity Flare (Ammo_Flare<2dd5a10>, 1, 100) at <2726.406006, 218.290039, 5374.158203>
[COT 2021-03-06 04:41:21] 76561198036774377: Spawned Entity Road Flare (Roadflare<11adb70>, 20, 100) at <2726.406006, 218.290039, 5374.158203>
[COT 2021-03-06 04:41:21] 76561198036774377: Spawned Entity Road Flare (Roadflare<11a8840>, 20, 100) at <2726.406006, 218.290039, 5374.158203>
[COT 2021-03-06 04:41:21] 76561198036774377: Spawned Entity Road Flare (Roadflare<11a9760>, 20, 100) at <2726.406006, 218.290039, 5374.158203>
[COT 2021-03-06 04:41:22] 76561198036774377: Spawned Entity Road Flare (Roadflare<11c1180>, 20, 100) at <2726.406006, 218.290039, 5374.158203>
[COT 2021-03-06 04:41:24] 76561198036774377: Spawned Entity Flare (Ammo_Flare<1cf89e0>, 1, 100) at <2726.406006, 218.290039, 5374.158203>
[COT 2021-03-06 04:41:26] 76561198036774377: Spawned Entity Flare (Ammo_Flare<7535f90>, 1, 100) at <2726.406006, 218.290039, 5374.158203>
[COT 2021-03-06 04:41:56] 76561198036774377: Entered the Free Camera
[COT 2021-03-06 04:42:36] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<f0a7d830>, 1, 100) at <2737.853027, 209.805206, 5459.437012>
[COT 2021-03-06 04:42:39] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<e3dee210>, 1, 100) at <2738.669434, 209.805206, 5459.848633>
[COT 2021-03-06 04:42:40] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<e3983f50>, 1, 100) at <2736.773193, 209.805206, 5460.426758>
[COT 2021-03-06 04:42:42] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<e39679f0>, 1, 100) at <2737.707275, 209.805206, 5462.085938>
[COT 2021-03-06 04:42:45] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<fac22650>, 1, 100) at <2738.699951, 209.805206, 5459.390625>
[COT 2021-03-06 04:42:47] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<dfebf660>, 1, 100) at <2737.131348, 209.805206, 5459.569824>
[COT 2021-03-06 04:42:49] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<fa2149d0>, 1, 100) at <2736.059326, 209.805206, 5460.267578>
[COT 2021-03-06 04:42:50] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<fa210800>, 1, 100) at <2735.921143, 209.805206, 5459.961426>
[COT 2021-03-06 04:42:51] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<7836140>, 1, 100) at <2735.919189, 209.839081, 5459.976563>
[COT 2021-03-06 04:42:53] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<48371c0>, 1, 100) at <2736.726807, 209.805206, 5459.645508>
[COT 2021-03-06 04:42:54] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<8185070>, 1, 100) at <2736.600586, 209.805206, 5460.724121>
[COT 2021-03-06 04:42:56] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<819f140>, 1, 100) at <2737.460449, 209.805206, 5460.675781>
[COT 2021-03-06 04:43:04] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<56f90140>, -1, 30) at <2739.077881, 209.805206, 5460.678711>
[COT 2021-03-06 04:43:06] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<56f90850>, -1, 30) at <2737.742920, 209.805206, 5461.777344>
[COT 2021-03-06 04:43:07] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<1668d00>, -1, 30) at <2738.367676, 209.805206, 5460.372559>
[COT 2021-03-06 04:43:08] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<164ec50>, -1, 30) at <2737.331787, 209.805206, 5459.279785>
[COT 2021-03-06 04:43:10] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<4bb1d970>, -1, 30) at <2737.108398, 209.805206, 5457.329102>
[COT 2021-03-06 04:43:12] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<4bb1e080>, -1, 30) at <2735.395020, 209.805206, 5460.746582>
[COT 2021-03-06 04:43:14] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<f103bf60>, -1, 30) at <2732.263184, 209.805206, 5461.250977>
[COT 2021-03-06 04:43:16] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<f10468e0>, -1, 30) at <2733.650635, 209.805206, 5463.569336>
[COT 2021-03-06 04:43:18] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<ea7c2b80>, -1, 30) at <2735.508545, 209.805206, 5465.398438>
[COT 2021-03-06 04:43:20] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<ea7d4d10>, -1, 30) at <2737.197510, 209.805206, 5463.088379>
[COT 2021-03-06 04:43:22] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<10902010>, -1, 30) at <2739.372314, 209.805206, 5461.994629>
[COT 2021-03-06 04:43:24] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<ed56e080>, -1, 30) at <2737.780762, 209.805206, 5459.122070>
[COT 2021-03-06 04:43:28] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<133f840>, -1, 30) at <2731.321045, 209.805206, 5459.270020>
[COT 2021-03-06 04:43:31] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<1356780>, -1, 30) at <2734.160400, 209.805206, 5462.299316>
[COT 2021-03-06 04:43:33] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<f43b16d0>, -1, 30) at <2734.238037, 209.805206, 5463.464844>
[COT 2021-03-06 04:43:35] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<f43bb230>, -1, 30) at <2737.394287, 209.805206, 5461.108887>
[COT 2021-03-06 04:43:38] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<f43d1350>, -1, 30) at <2735.717529, 209.805206, 5461.610840>
[COT 2021-03-06 04:43:40] 76561198036774377: Spawned Entity Brick of Stardawg Weed (CP_CannabisBrickStardawg<f05c12a0>, -1, 30) at <2737.387207, 209.805206, 5461.678711>
[COT 2021-03-06 04:43:43] 76561198036774377: Spawned Entity Brick of Stardawg Weed (CP_CannabisBrickStardawg<f05b45d0>, -1, 30) at <2732.180176, 219.207855, 5464.387695>
[COT 2021-03-06 04:43:44] 76561198036774377: Spawned Entity Brick of Stardawg Weed (CP_CannabisBrickStardawg<368b3cf0>, -1, 30) at <2736.410156, 209.805206, 5461.469727>
[COT 2021-03-06 04:43:46] 76561198036774377: Spawned Entity Brick of Stardawg Weed (CP_CannabisBrickStardawg<fdf9b210>, -1, 30) at <2736.494385, 209.805206, 5460.597168>
[COT 2021-03-06 04:43:50] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<fdfa3840>, -1, 30) at <2735.705566, 209.805206, 5460.111328>
[COT 2021-03-06 04:43:54] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<e4714fb0>, -1, 30) at <2735.283936, 209.805206, 5463.391113>
[COT 2021-03-06 04:43:56] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<c34f7b0>, -1, 30) at <2734.154541, 209.805206, 5462.189941>
[COT 2021-03-06 04:43:58] 76561198036774377: Spawned Entity Brick of S1 Hemp (CP_CannabisBrickS1<106b47d0>, -1, 30) at <2735.495850, 209.805206, 5461.940918>
[COT 2021-03-06 04:44:00] 76561198036774377: Spawned Entity Brick of S1 Hemp (CP_CannabisBrickS1<3468cb10>, -1, 30) at <2735.089111, 209.805206, 5463.002930>
[COT 2021-03-06 04:44:02] 76561198036774377: Spawned Entity Brick of S1 Hemp (CP_CannabisBrickS1<34688470>, -1, 30) at <2735.996826, 209.805206, 5462.761719>
[COT 2021-03-06 04:44:04] 76561198036774377: Spawned Entity Brick of S1 Hemp (CP_CannabisBrickS1<34688b80>, -1, 30) at <2738.524902, 209.805206, 5461.576660>
[COT 2021-03-06 04:44:06] 76561198036774377: Spawned Entity Brick of S1 Hemp (CP_CannabisBrickS1<34689290>, -1, 30) at <2738.898193, 209.805206, 5459.782715>
[COT 2021-03-06 04:44:08] 76561198036774377: Spawned Entity Brick of S1 Hemp (CP_CannabisBrickS1<346911b0>, -1, 30) at <2735.590576, 209.805206, 5459.162598>
[COT 2021-03-06 04:44:10] 76561198036774377: Spawned Entity Brick of S1 Hemp (CP_CannabisBrickS1<18df70>, -1, 30) at <2736.733398, 209.805206, 5456.697754>
[COT 2021-03-06 04:44:21] 76561198036774377: Left the Free Camera
[COT 2021-03-06 04:45:45] 76561198036774377: Entered the Free Camera
[COT 2021-03-06 04:46:04] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:46:04] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:46:05] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:46:05] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:46:06] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:46:06] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
