[COT 2021-03-20 04:04:27] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:27] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:27] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:30] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:36] 76561198036774377: Entered the Free Camera
[COT 2021-03-20 04:06:42] 76561198036774377: Spawned Entity Brick of Nomad Weed (CP_CannabisBrickNomad<f736a410>, -1, 30) at <10367.937500, 6.977651, 1664.432983>
[COT 2021-03-20 04:06:43] 76561198036774377: Spawned Entity Brick of Nomad Weed (CP_CannabisBrickNomad<f736e3a0>, -1, 30) at <10367.395508, 6.977651, 1664.805420>
[COT 2021-03-20 04:06:45] 76561198036774377: Spawned Entity Brick of S1 Hemp (CP_CannabisBrickS1<f734ee30>, -1, 30) at <10367.586914, 6.977650, 1665.267822>
[COT 2021-03-20 04:06:47] 76561198036774377: Spawned Entity Brick of S1 Hemp (CP_CannabisBrickS1<de4d8390>, -1, 30) at <10368.000000, 6.977651, 1663.716919>
[COT 2021-03-20 04:06:49] 76561198036774377: Spawned Entity Brick of Nomad Weed (CP_CannabisBrickNomad<de4d1290>, -1, 30) at <10367.791016, 6.977651, 1663.939453>
[COT 2021-03-20 04:06:51] 76561198036774377: Spawned Entity Brick of Nomad Weed (CP_CannabisBrickNomad<de4d91b0>, -1, 30) at <10368.311523, 6.977650, 1664.216309>
[COT 2021-03-20 04:06:53] 76561198036774377: Spawned Entity Brick of Black Frost Weed (CP_CannabisBrickBlackFrost<de4d98c0>, -1, 30) at <10368.311523, 6.977650, 1664.691895>
[COT 2021-03-20 04:06:55] 76561198036774377: Spawned Entity Brick of Black Frost Weed (CP_CannabisBrickBlackFrost<de4d9fd0>, -1, 30) at <10367.247070, 6.977651, 1664.561890>
[COT 2021-03-20 04:06:58] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<de4db500>, -1, 30) at <10366.758789, 6.977651, 1664.736084>
[COT 2021-03-20 04:07:00] 76561198036774377: Spawned Entity Brick of Stardawg Weed (CP_CannabisBrickStardawg<de4e3420>, -1, 30) at <10367.059570, 6.977650, 1665.512817>
[COT 2021-03-20 04:07:03] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<de4e02b0>, -1, 30) at <10367.621094, 6.977651, 1664.518921>
[COT 2021-03-20 04:07:05] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<de4e4240>, -1, 30) at <10368.247070, 7.007708, 1664.588379>
[COT 2021-03-20 04:07:18] 76561198036774377: Spawned Entity BerettaGoldenFlower (CZ75_Base<ba7bb30>, -1, 170) at <10368.250977, 7.063231, 1664.507324>
[COT 2021-03-20 04:07:20] 76561198036774377: Spawned Entity BerettaGoldenFlower (CZ75_Base<ba7ee90>, -1, 170) at <10368.000000, 7.082703, 1664.379639>
[COT 2021-03-20 04:07:33] 76561198036774377: Spawned Entity HoneyBadgerGold (M4A1_Base<ba7cc50>, -1, 200) at <10368.000000, 7.082703, 1664.379639>
[COT 2021-03-20 04:07:35] 76561198036774377: Spawned Entity HoneyBadgerGold (M4A1_Base<ba7aa10>, -1, 200) at <10367.425781, 6.990781, 1664.709961>
