[COT 2021-03-07 22:37:31] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc41f20>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:31] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc43f60>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:32] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc42730>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:32] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc45fa0>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:32] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc3fee0>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:32] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc43750>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:32] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc47fe0>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:32] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc467b0>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:33] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc3f6d0>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:33] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc406f0>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:33] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc487f0>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:33] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc4a020>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:33] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc4b040>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:33] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc100f0>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:34] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc13960>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:34] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc0d090>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:36] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc0d8a0>, -1, 100) at <12661.365234, 7.132755, 9843.421875>
[COT 2021-03-07 22:37:36] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc11110>, -1, 100) at <12661.394531, 6.995958, 9843.205078>
[COT 2021-03-07 22:37:37] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc0c070>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:37] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc12130>, -1, 100) at <12661.324219, 7.328848, 9843.733398>
[COT 2021-03-07 22:37:37] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc14980>, -1, 100) at <12661.324219, 7.328848, 9843.733398>
[COT 2021-03-07 22:37:37] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc159a0>, -1, 100) at <12661.324219, 7.328848, 9843.733398>
[COT 2021-03-07 22:37:37] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc0e0b0>, -1, 100) at <12661.324219, 7.328848, 9843.733398>
