[COT 2021-03-19 22:06:38] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 22:06:38] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 22:06:38] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 22:10:36] 76561198036774377: Spawned Entity Mortar Mix (BBP_Mortar_Mix<eb436ff0>, 1, 100) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:10:36] 76561198036774377: Spawned Entity Mortar Mix (BBP_Mortar_Mix<e7507fd0>, 1, 100) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:10:37] 76561198036774377: Spawned Entity Mortar Mix (BBP_Mortar_Mix<e7515ac0>, 1, 100) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:10:37] 76561198036774377: Spawned Entity Mortar Mix (BBP_Mortar_Mix<33e02680>, 1, 100) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:10:37] 76561198036774377: Spawned Entity Mortar Mix (BBP_Mortar_Mix<33dfee00>, 1, 100) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:10:45] 76561198036774377: Spawned Entity Shovel (Shovel<d0c42480>, -1, 200) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:13:06] 76561198036774377: Entered the Free Camera
[COT 2021-03-19 23:09:16] 76561198036774377: Left the Free Camera
[COT 2021-03-19 23:09:31] 76561198036774377: Spawned Entity Large Tent (LargeTent<982fd3d0>, -1, 2000) at <10389.371094, 6.183817, 1669.830078>
[COT 2021-03-19 23:10:06] 76561198036774377: Spawned Entity EGD-5 Frag Grenade (RGD5Grenade<982fbd20>, -1, 50) at <10386.549805, 6.183805, 1667.725098>
