[COT 2021-02-19 00:49:30] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-19 00:49:30] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-19 00:49:41] 76561198036774377: Set rain to 0 0 0
[COT 2021-02-19 00:49:41] 76561198036774377: Set storm to 0 0.8 4000
[COT 2021-02-19 00:49:41] 76561198036774377: Set fog to 0.0745777 0 0
[COT 2021-02-19 00:49:41] 76561198036774377: Set overcast to 0.39723 0 0
[COT 2021-02-19 00:49:41] 76561198036774377: Set the date to 2021/10/5 6:14
[COT 2021-02-19 00:49:41] 76561198036774377: Set wind to 9.10803 9.10803 1
[COT 2021-02-19 00:49:52] 76561198036774377: Set rain to 0 0 0
[COT 2021-02-19 00:49:52] 76561198036774377: Set storm to 0 0.8 4000
[COT 2021-02-19 00:49:52] 76561198036774377: Set fog to 0.0745777 0 0
[COT 2021-02-19 00:49:52] 76561198036774377: Set overcast to 0.06 0 0
[COT 2021-02-19 00:49:52] 76561198036774377: Set the date to 2021/10/5 6:14
[COT 2021-02-19 00:49:52] 76561198036774377: Set wind to 0.09 0.09 1
[COT 2021-02-19 00:54:52] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<eb856c30>, -1, 100) at <9452.784180, 203.751038, 12341.751953>
[COT 2021-02-19 00:56:00] 76561198036774377: Spawned Entity 5 Ruble Note (ItemBase<70b3f6c0>, 500, 100) at <9452.471680, 203.790924, 12341.546875>
[COT 2021-02-19 00:56:00] 76561198036774377: Spawned Entity 5 Ruble Note (ItemBase<70b38cd0>, 500, 100) at <9452.471680, 203.790924, 12341.546875>
[COT 2021-02-19 00:56:31] 76561198036774377: Spawned Entity TWP_Komrad12 (Saiga_Base<3600b3a0>, -1, 250) at <9452.471680, 203.790558, 12341.546875>
[COT 2021-02-19 00:56:39] 76561198036774377: Spawned Entity TWP_Komrad12_mag_10Rnd (Mag_Saiga_8Rnd<747b4e80>, 1, 100) at <9452.471680, 203.790558, 12341.546875>
[COT 2021-02-19 00:56:40] 76561198036774377: Spawned Entity TWP_Komrad12_mag_10Rnd (Mag_Saiga_8Rnd<747b5d20>, 1, 100) at <9452.471680, 203.790558, 12341.546875>
[COT 2021-02-19 00:56:41] 76561198036774377: Spawned Entity TWP_Komrad12_mag_10Rnd (Mag_Saiga_8Rnd<747aef70>, 1, 100) at <9452.471680, 203.790558, 12341.546875>
[COT 2021-02-19 00:56:41] 76561198036774377: Spawned Entity TWP_Komrad12_mag_10Rnd (Mag_Saiga_8Rnd<747b55d0>, 1, 100) at <9452.471680, 203.790558, 12341.546875>
[COT 2021-02-19 00:58:02] 76561198036774377: Teleported to position <960.600098, 112.374985, 3968.613281>
[COT 2021-02-19 00:58:53] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
