[COT 2021-02-18 00:25:09] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-18 00:25:09] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-18 00:25:22] 76561198036774377: Teleported to position <3725.457520, 401.586273, 6010.338867>
[COT 2021-02-18 01:04:55] 76561198036774377: Spawned Entity SRGlock (CZ61_Base<ef7ae550>, -1, 200) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:04:55] 76561198036774377: Spawned Entity SRGlock (CZ61_Base<ef7b54a0>, -1, 200) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:04:58] 76561198036774377: Spawned Entity 15rd Mlock-91 Mag (Mag_Glock_15Rnd<75d19470>, 1, 100) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:04:58] 76561198036774377: Spawned Entity 15rd Mlock-91 Mag (Mag_Glock_15Rnd<75d1b900>, 1, 100) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:04:58] 76561198036774377: Spawned Entity 15rd Mlock-91 Mag (Mag_Glock_15Rnd<75d18d20>, 1, 100) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:04:58] 76561198036774377: Spawned Entity 15rd Mlock-91 Mag (Mag_Glock_15Rnd<75d16890>, 1, 100) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:01] 76561198036774377: Spawned Entity GlockZapper_mag_15Rnd (Mag_Glock_15Rnd<75d210c0>, 1, 150) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:01] 76561198036774377: Spawned Entity GlockZapper_mag_15Rnd (Mag_Glock_15Rnd<75d243f0>, 1, 150) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:02] 76561198036774377: Spawned Entity Glock17_mag_19Rnd (Mag_Glock_15Rnd<75d28d10>, 1, 150) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:02] 76561198036774377: Spawned Entity Glock17_mag_19Rnd (Mag_Glock_15Rnd<75cefb00>, 1, 150) at <3701.280762, 402.381409, 5991.698242>
