[COT 2021-02-20 13:51:05] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-20 13:51:05] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-20 13:51:05] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-20 13:51:29] 76561198036774377: Teleported to position <8190.520996, 170.956619, 11701.562500>
[COT 2021-02-20 13:51:47] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-20 13:55:38] 76561198036774377: Spawned Entity canned tallarines tomate (PeachesCan<72d0f570>, -1, 100) at <8191.846191, 171.904709, 11697.588867>
[COT 2021-02-20 13:55:43] 76561198036774377: Spawned Entity canned risoto (TacticalBaconCan<72d0baf0>, -1, 100) at <8191.846191, 171.904709, 11697.588867>
[COT 2021-02-20 13:56:52] 76561198036774377: Spawned Entity SAK (SAK_Mung<66aac620>, -1, 200) at <8191.845703, 171.904327, 11697.588867>
[COT 2021-02-20 13:56:57] 76561198036774377: Spawned Entity Zippo lighter (Zippo_new<72ac0980>, 80, 100) at <8191.845703, 171.904327, 11697.588867>
[COT 2021-02-20 13:57:04] 76561198036774377: Spawned Entity Maglite (Flashlight<66aacd30>, -1, 70) at <8191.845703, 171.904327, 11697.588867>
[COT 2021-02-20 13:57:12] 76561198036774377: Spawned Entity 9V Battery (Battery9V<66a6fe90>, 50, 20) at <8191.845703, 171.904327, 11697.588867>
[COT 2021-02-20 13:57:25] 76561198036774377: Spawned Entity MVS Canteen - Multicam (Canteen<76338ae0>, 1000, 100) at <8191.845703, 171.904327, 11697.588867>
[COT 2021-02-20 13:57:28] 76561198036774377: Spawned Entity MVS Canteen - Multicam Tropic (Canteen<76332100>, 1000, 100) at <8191.845703, 171.904327, 11697.588867>
[COT 2021-02-20 13:57:35] 76561198036774377: Spawned Entity Glass Bottle (Vodka<7633de10>, 500, 20) at <8191.845703, 171.904327, 11697.588867>
[COT 2021-02-20 13:57:35] 76561198036774377: Spawned Entity Glass Bottle (Vodka<7633a190>, 500, 20) at <8191.845703, 171.904327, 11697.588867>
[COT 2021-02-20 13:58:59] 76561198036774377: Teleported to position <3729.563477, 401.871368, 6008.060547>
[COT 2021-02-20 14:00:39] 76561198036774377: Spawned vehicle Sarka 120 (Sedan_02) at <3717.643311, 402.000000, 5990.872070>
[COT 2021-02-20 14:00:50] 76561198036774377: Spawned vehicle Olga 24 (CivilianSedan) at <3721.353027, 402.000000, 5988.324219>
[COT 2021-02-20 14:00:59] 76561198036774377: Spawned vehicle Ada 4x4 (OffroadHatchback) at <3719.438965, 402.000031, 5981.480957>
