[COT 2021-04-05 18:03:14] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-05 18:03:14] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-05 18:03:14] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-05 18:03:28] 76561198036774377: Teleported to position <7700.950195, 198.561523, 5948.005371>
[COT 2021-04-05 18:04:55] 76561198036774377: Teleported to position <12585.509766, 6.808196, 3688.137695>
[COT 2021-04-05 18:05:06] 76561198036774377: Entered the Free Camera
[COT 2021-04-05 18:08:15] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<f5e4bef0>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:08:15] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<cf6383a0>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:08:33] 76561198036774377: Spawned Entity AAC Honey Badger .300BLK Black (TTC_AACHoney300blk_Base<59a48970>, -1, 400) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:08:33] 76561198036774377: Spawned Entity AAC Honey Badger .300BLK Black (TTC_AACHoney300blk_Base<59a422b0>, -1, 400) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:08:43] 76561198036774377: Spawned Entity Honey Badger Suppressor (TTC_Honey_Suppressor<4bb3d1e0>, -1, 250) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:08:44] 76561198036774377: Spawned Entity Honey Badger Suppressor (TTC_Honey_Suppressor<4bb3fc40>, -1, 250) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:08:45] 76561198036774377: Spawned Entity AAC Honey Badger Buttstock (TTC_Buttstock_Honey<4bb3d8f0>, -1, 200) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:08:45] 76561198036774377: Spawned Entity AAC Honey Badger Buttstock (TTC_Buttstock_Honey<4bb3e000>, -1, 200) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:01] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb3a780>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:01] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb40350>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
