[COT 2021-02-06 23:05:14] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-06 23:05:14] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-06 23:05:38] 76561198036774377: Entered the Free Camera
[COT 2021-02-06 23:06:24] 76561198036774377: Teleported to position <1748.491699, 449.989990, 14027.447266>
[COT 2021-02-06 23:15:25] 76561198036774377: Spawned Entity Baraka Sights (ReflexOptic<a4c3ed60>, -1, 30) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:26] 76561198036774377: Spawned Entity Baraka Sights (ReflexOptic<a4c3de40>, -1, 30) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:33] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6f3500>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:33] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6f82b0>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:34] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6f97e0>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:34] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6fb420>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:34] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6f3c10>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:34] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6f4a30>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:34] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6fc950>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:34] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6f5140>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:35] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6f7490>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:35] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6fd770>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:35] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6f6670>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:16:39] 76561198036774377: Spawned Entity Universal Flashlight (UniversalLight<c7c49c30>, -1, 70) at <1641.521973, 451.742401, 14183.172852>
[COT 2021-02-06 23:16:40] 76561198036774377: Spawned Entity Universal Flashlight (UniversalLight<c7c4ff10>, -1, 70) at <1641.521973, 451.742401, 14183.172852>
[COT 2021-02-06 23:16:40] 76561198036774377: Spawned Entity Universal Flashlight (UniversalLight<c7c4cda0>, -1, 70) at <1641.521973, 451.742401, 14183.172852>
[COT 2021-02-06 23:16:40] 76561198036774377: Spawned Entity Universal Flashlight (UniversalLight<c7c4f0f0>, -1, 70) at <1641.521973, 451.742401, 14183.172852>
[COT 2021-02-06 23:16:41] 76561198036774377: Spawned Entity Universal Flashlight (UniversalLight<c7c4f800>, -1, 70) at <1641.521973, 451.742401, 14183.172852>
[COT 2021-02-06 23:16:41] 76561198036774377: Spawned Entity Universal Flashlight (UniversalLight<c7c4a340>, -1, 70) at <1641.521973, 451.742401, 14183.172852>
[COT 2021-02-06 23:17:45] 76561198036774377: Spawned Entity leatherwallet (leatherwallet_mung<cf48f5a0>, -1, 750) at <1641.521973, 451.742371, 14183.172852>
[COT 2021-02-06 23:17:57] 76561198036774377: Spawned Entity 1 Ruble Note (ItemBase<cf4a5dd0>, 500, 100) at <1641.521973, 451.742371, 14183.172852>
[COT 2021-02-06 23:17:57] 76561198036774377: Spawned Entity 1 Ruble Note (ItemBase<cf4a3a80>, 500, 100) at <1641.521973, 451.742371, 14183.172852>
[COT 2021-02-06 23:17:58] 76561198036774377: Spawned Entity 1 Ruble Note (ItemBase<cf4a64e0>, 500, 100) at <1641.521973, 451.742371, 14183.172852>
[COT 2021-02-06 23:17:59] 76561198036774377: Spawned Entity 1 Ruble Note (ItemBase<cf4a7a10>, 500, 100) at <1641.521973, 451.742371, 14183.172852>
[COT 2021-02-06 23:17:59] 76561198036774377: Spawned Entity 1 Ruble Note (ItemBase<cf4a8120>, 500, 100) at <1641.521973, 451.742371, 14183.172852>
